기준연월,방문비율
20220811,58.3
20220812,55.9
20220813,66.0
20220814,57.4
20220815,45.7
20220816,47.7
20220817,55.8
20220818,49.5
20220819,54.7
20220820,52.8
20220821,38.6
20220822,37.3
20220823,43.1
20220824,47.8
20220825,43.7
20220826,47.0
20220827,55.8
20220828,46.2
20220829,36.3
20220830,44.5
20220831,49.8
20220901,32.9
20220902,37.0
20220903,48.5
20220904,35.1
20220905,21.7
20220906,20.3
20220907,20.9
20220908,24.4
20220909,53.3
20220910,57.6
20220911,44.1
20220912,46.9
20220913,24.3
20220914,27.9
20220915,24.5
20220916,28.9
20220917,46.6
20220918,42.5
20220919,23.1
20220920,26.5
20220921,26.4
20220922,23.3
20220923,27.5
20220924,50.1
20220925,43.5
20220926,21.2
20220927,24.0
20220928,29.0
20220929,23.0
20220930,29.2
20221001,54.9
20221002,57.3
20221003,43.2
20221004,22.2
20221005,25.2
20221006,26.0
20221007,30.2
20221008,50.5
20221009,40.8
20221010,45.9
20221011,25.8
20221012,28.1
20221013,26.7
20221014,30.5
20221015,53.6
20221016,39.4
20221017,21.3
20221018,27.1
20221019,30.3
20221020,25.5
20221021,29.6
20221022,52.2
20221023,42.5
20221024,25.8
20221025,28.2
20221026,28.4
20221027,23.4
20221028,28.8
20221029,50.9
20221030,43.2
20221031,23.4
20221101,23.7
20221102,24.8
20221103,23.3
20221104,28.1
20221105,52.1
20221106,43.7
20221107,18.2
20221108,18.4
