광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,춘천시,27.1,20.8
강원도,인제군,27.1,24.2
강원도,속초시,27.1,17.0
강원도,원주시,27.1,9.0
강원도,강릉시,27.1,6.4
강원도,홍천군,27.1,6.2
강원도,양구군,27.1,3.5
강원도,양양군,27.1,4.0
강원도,동해시,27.1,1.6
강원도,횡성군,27.1,1.9
강원도,철원군,27.1,1.4
강원도,평창군,27.1,0.9
강원도,삼척시,27.1,0.9
강원도,화천군,27.1,1.5
강원도,영월군,27.1,0.2
강원도,정선군,27.1,0.1
강원도,태백시,27.1,0.1
강원도,고성군,27.1,0.2
경기도,남양주시,33.5,10.4
경기도,성남시 분당구,33.5,4.1
경기도,양평군,33.5,4.4
경기도,고양시 덕양구,33.5,3.4
경기도,광주시,33.5,4.3
경기도,화성시,33.5,3.7
경기도,부천시,33.5,4.3
경기도,하남시,33.5,3.4
경기도,의정부시,33.5,3.9
경기도,용인시 수지구,33.5,2.4
경기도,파주시,33.5,3.5
경기도,김포시,33.5,2.6
경기도,이천시,33.5,2.5
경기도,구리시,33.5,2.5
경기도,양주시,33.5,2.2
경기도,포천시,33.5,3.4
경기도,용인시 기흥구,33.5,2.6
경기도,고양시 일산동구,33.5,2.4
경기도,가평군,33.5,1.8
경기도,안산시 상록구,33.5,1.5
경기도,안양시 동안구,33.5,2.2
경기도,고양시 일산서구,33.5,2.5
경기도,군포시,33.5,1.5
경기도,평택시,33.5,1.8
경기도,오산시,33.5,0.9
경기도,수원시 영통구,33.5,1.7
경기도,동두천시,33.5,1.3
경기도,성남시 중원구,33.5,1.7
경기도,용인시 처인구,33.5,1.9
경기도,의왕시,33.5,0.9
경기도,수원시 권선구,33.5,1.5
경기도,안산시 단원구,33.5,1.1
경기도,수원시 팔달구,33.5,0.7
경기도,안양시 만안구,33.5,1.3
경기도,시흥시,33.5,1.6
경기도,성남시 수정구,33.5,1.9
경기도,안성시,33.5,0.6
경기도,광명시,33.5,1.5
경기도,여주시,33.5,2.1
경기도,수원시 장안구,33.5,1.0
경기도,과천시,33.5,0.7
경기도,연천군,33.5,0.6
경상남도,김해시,1.1,17.4
경상남도,창녕군,1.1,2.0
경상남도,창원시 마산합포구,1.1,6.1
경상남도,창원시 성산구,1.1,8.2
경상남도,창원시 진해구,1.1,6.8
경상남도,창원시 마산회원구,1.1,4.4
경상남도,창원시 의창구,1.1,8.6
경상남도,양산시,1.1,6.1
경상남도,거제시,1.1,6.8
경상남도,함안군,1.1,1.4
경상남도,함양군,1.1,1.4
경상남도,고성군,1.1,1.7
경상남도,진주시,1.1,7.1
경상남도,사천시,1.1,3.8
경상남도,하동군,1.1,2.7
경상남도,밀양시,1.1,5.8
경상남도,거창군,1.1,2.4
경상남도,산청군,1.1,1.7
경상남도,통영시,1.1,2.4
경상남도,의령군,1.1,2.4
경상남도,남해군,1.1,0.7
경상북도,구미시,1.4,16.4
경상북도,포항시 남구,1.4,9.6
경상북도,김천시,1.4,6.3
경상북도,경산시,1.4,7.9
경상북도,영천시,1.4,1.6
경상북도,안동시,1.4,9.3
경상북도,울진군,1.4,2.7
경상북도,상주시,1.4,6.3
경상북도,영주시,1.4,9.9
경상북도,예천군,1.4,3.0
경상북도,경주시,1.4,5.8
경상북도,포항시 북구,1.4,5.8
경상북도,청도군,1.4,1.6
경상북도,성주군,1.4,1.4
경상북도,칠곡군,1.4,3.6
경상북도,문경시,1.4,1.4
경상북도,청송군,1.4,0.3
경상북도,영양군,1.4,1.1
경상북도,고령군,1.4,0.8
경상북도,봉화군,1.4,0.8
경상북도,의성군,1.4,1.4
경상북도,영덕군,1.4,2.8
경상북도,울릉군,1.4,0.3
광주광역시,북구,0.7,31.8
광주광역시,서구,0.7,13.6
광주광역시,광산구,0.7,29.7
광주광역시,남구,0.7,15.9
광주광역시,동구,0.7,9.1
대구광역시,달서구,1.1,22.2
대구광역시,북구,1.1,15.3
대구광역시,동구,1.1,17.1
대구광역시,수성구,1.1,19.3
대구광역시,달성군,1.1,15.0
대구광역시,남구,1.1,4.3
대구광역시,서구,1.1,4.7
대구광역시,중구,1.1,2.2
대전광역시,서구,1.1,33.0
대전광역시,유성구,1.1,30.5
대전광역시,중구,1.1,14.4
대전광역시,대덕구,1.1,11.9
대전광역시,동구,1.1,10.2
부산광역시,사하구,1.1,6.8
부산광역시,사상구,1.1,6.9
부산광역시,해운대구,1.1,16.3
부산광역시,남구,1.1,8.7
부산광역시,영도구,1.1,4.7
부산광역시,강서구,1.1,2.9
부산광역시,북구,1.1,9.7
부산광역시,동구,1.1,2.5
부산광역시,동래구,1.1,8.7
부산광역시,부산진구,1.1,7.6
부산광역시,금정구,1.1,3.6
부산광역시,수영구,1.1,3.9
부산광역시,서구,1.1,4.3
부산광역시,연제구,1.1,7.2
부산광역시,기장군,1.1,6.2
서울특별시,송파구,22.6,8.3
서울특별시,노원구,22.6,7.7
서울특별시,강서구,22.6,4.9
서울특별시,강남구,22.6,5.3
서울특별시,성동구,22.6,3.5
서울특별시,도봉구,22.6,4.0
서울특별시,성북구,22.6,5.8
서울특별시,광진구,22.6,4.4
서울특별시,강동구,22.6,6.5
서울특별시,마포구,22.6,3.7
서울특별시,서대문구,22.6,3.7
서울특별시,서초구,22.6,3.8
서울특별시,동작구,22.6,3.7
서울특별시,은평구,22.6,4.6
서울특별시,중랑구,22.6,4.1
서울특별시,동대문구,22.6,3.0
서울특별시,영등포구,22.6,3.5
서울특별시,양천구,22.6,2.7
서울특별시,관악구,22.6,4.4
서울특별시,강북구,22.6,3.5
서울특별시,종로구,22.6,1.7
서울특별시,용산구,22.6,2.1
서울특별시,구로구,22.6,2.7
서울특별시,금천구,22.6,1.4
서울특별시,중구,22.6,1.0
세종특별자치시,세종특별자치시,0.2,100.0
울산광역시,중구,0.4,33.6
울산광역시,북구,0.4,10.5
울산광역시,울주군,0.4,19.0
울산광역시,남구,0.4,25.3
울산광역시,동구,0.4,11.6
인천광역시,서구,4.3,23.5
인천광역시,부평구,4.3,17.6
인천광역시,계양구,4.3,11.6
인천광역시,연수구,4.3,11.1
인천광역시,남동구,4.3,15.2
인천광역시,강화군,4.3,3.9
인천광역시,중구,4.3,5.4
인천광역시,미추홀구,4.3,8.8
인천광역시,옹진군,4.3,1.9
인천광역시,동구,4.3,0.9
전라남도,장성군,0.8,19.1
전라남도,광양시,0.8,9.7
전라남도,순천시,0.8,15.1
전라남도,무안군,0.8,3.0
전라남도,목포시,0.8,11.6
전라남도,여수시,0.8,6.0
전라남도,나주시,0.8,5.6
전라남도,영암군,0.8,3.5
전라남도,화순군,0.8,5.6
전라남도,함평군,0.8,1.0
전라남도,장흥군,0.8,2.0
전라남도,구례군,0.8,2.5
전라남도,고흥군,0.8,1.0
전라남도,강진군,0.8,7.5
전라남도,보성군,0.8,0.5
전라남도,담양군,0.8,1.0
전라남도,해남군,0.8,3.5
전라남도,진도군,0.8,0.5
전라남도,완도군,0.8,0.5
전라남도,영광군,0.8,0.5
전라북도,군산시,1.0,10.3
전라북도,익산시,1.0,37.8
전라북도,완주군,1.0,8.3
전라북도,전주시 덕진구,1.0,7.1
전라북도,정읍시,1.0,3.2
전라북도,장수군,1.0,1.6
전라북도,임실군,1.0,1.6
전라북도,무주군,1.0,1.2
전라북도,전주시 완산구,1.0,14.0
전라북도,김제시,1.0,4.0
전라북도,부안군,1.0,1.2
전라북도,고창군,1.0,2.0
전라북도,남원시,1.0,3.9
전라북도,순창군,1.0,1.2
전라북도,진안군,1.0,2.8
제주특별자치도,서귀포시,0.2,19.5
제주특별자치도,제주시,0.2,80.5
충청남도,천안시 서북구,1.6,19.0
충청남도,천안시 동남구,1.6,15.3
충청남도,아산시,1.6,16.9
충청남도,금산군,1.6,2.4
충청남도,태안군,1.6,2.4
충청남도,당진시,1.6,10.8
충청남도,논산시,1.6,4.6
충청남도,계룡시,1.6,2.9
충청남도,홍성군,1.6,4.4
충청남도,공주시,1.6,3.4
충청남도,예산군,1.6,3.6
충청남도,부여군,1.6,2.9
충청남도,서산시,1.6,7.8
충청남도,보령시,1.6,1.9
충청남도,서천군,1.6,1.0
충청남도,청양군,1.6,0.7
충청북도,청주시 흥덕구,1.9,8.9
충청북도,충주시,1.9,21.6
충청북도,청주시 서원구,1.9,10.1
충청북도,청주시 청원구,1.9,8.9
충청북도,청주시 상당구,1.9,8.7
충청북도,음성군,1.9,14.6
충청북도,제천시,1.9,7.7
충청북도,단양군,1.9,3.9
충청북도,증평군,1.9,3.1
충청북도,진천군,1.9,5.3
충청북도,보은군,1.9,1.6
충청북도,영동군,1.9,1.4
충청북도,옥천군,1.9,1.8
충청북도,괴산군,1.9,2.4
