기준연월,방문비율
20220811,143.3
20220812,174.8
20220813,240.1
20220814,214.3
20220815,213.1
20220816,155.5
20220817,137.1
20220818,136.9
20220819,158.9
20220820,216.3
20220821,198.0
20220822,157.0
20220823,146.9
20220824,127.2
20220825,153.4
20220826,168.1
20220827,205.2
20220828,216.9
20220829,179.4
20220830,157.5
20220831,140.7
20220901,120.0
20220902,135.6
20220903,189.9
20220904,158.7
20220905,103.7
20220906,95.8
20220907,73.9
20220908,99.6
20220909,193.6
20220910,230.1
20220911,210.5
20220912,210.5
20220913,94.5
20220914,79.4
20220915,100.5
20220916,107.4
20220917,197.4
20220918,176.6
20220919,105.6
20220920,106.5
20220921,93.1
20220922,99.8
20220923,112.1
20220924,180.3
20220925,157.6
20220926,108.3
20220927,103.6
20220928,99.8
20220929,113.8
20220930,115.4
20221001,193.7
20221002,174.0
20221003,170.9
20221004,79.9
20221005,83.1
20221006,108.8
20221007,114.3
20221008,201.6
20221009,201.2
20221010,176.6
20221011,78.8
20221012,77.6
20221013,96.4
20221014,112.4
20221015,200.1
20221016,173.0
20221017,87.8
20221018,83.9
20221019,83.9
20221020,99.5
20221021,110.0
20221022,183.9
20221023,167.1
20221024,94.5
20221025,92.2
20221026,88.3
20221027,105.6
20221028,127.1
20221029,188.7
20221030,182.2
20221031,101.8
20221101,69.8
20221102,67.5
20221103,82.1
20221104,111.3
20221105,170.7
20221106,148.1
20221107,76.5
20221108,70.1
