기준연월,방문비율
20220811,87.2
20220812,99.0
20220813,122.0
20220814,124.2
20220815,107.6
20220816,90.0
20220817,90.7
20220818,93.7
20220819,103.1
20220820,121.2
20220821,108.6
20220822,96.9
20220823,97.7
20220824,98.4
20220825,102.5
20220826,110.6
20220827,123.9
20220828,110.5
20220829,102.6
20220830,101.9
20220831,104.1
20220901,92.5
20220902,103.4
20220903,129.3
20220904,106.3
20220905,84.2
20220906,89.1
20220907,89.6
20220908,94.4
20220909,127.3
20220910,133.6
20220911,112.7
20220912,119.8
20220913,96.4
20220914,99.6
20220915,103.0
20220916,112.3
20220917,139.0
20220918,114.7
20220919,97.4
20220920,107.2
20220921,108.0
20220922,110.5
20220923,117.9
20220924,140.2
20220925,122.9
20220926,107.4
20220927,108.7
20220928,110.1
20220929,113.2
20220930,120.4
20221001,125.8
20221002,102.5
20221003,103.6
20221004,88.4
20221005,90.7
20221006,93.7
20221007,102.9
20221008,129.2
20221009,105.5
20221010,112.4
20221011,93.2
20221012,95.8
20221013,98.9
20221014,112.0
20221015,136.7
20221016,107.0
20221017,92.8
20221018,99.2
20221019,101.0
20221020,108.6
20221021,117.5
20221022,136.7
20221023,118.2
20221024,102.3
20221025,104.8
20221026,106.6
20221027,109.6
20221028,118.3
20221029,137.1
20221030,117.3
20221031,104.5
20221101,85.7
20221102,86.2
20221103,89.6
20221104,101.5
20221105,127.4
20221106,100.9
20221107,81.1
20221108,85.5
