기준연월,방문비율
20220811,67.7
20220812,72.7
20220813,118.2
20220814,141.5
20220815,118.5
20220816,73.5
20220817,56.3
20220818,74.0
20220819,77.5
20220820,123.5
20220821,83.1
20220822,73.9
20220823,48.2
20220824,27.1
20220825,60.1
20220826,69.7
20220827,124.5
20220828,116.2
20220829,85.5
20220830,65.7
20220831,54.9
20220901,48.7
20220902,53.5
20220903,100.4
20220904,71.4
20220905,52.0
20220906,42.4
20220907,17.3
20220908,36.4
20220909,110.9
20220910,139.8
20220911,127.0
20220912,117.9
20220913,30.9
20220914,29.4
20220915,40.9
20220916,41.6
20220917,92.9
20220918,80.0
20220919,64.2
20220920,55.7
20220921,27.3
20220922,37.2
20220923,44.9
20220924,94.7
20220925,79.8
20220926,68.4
20220927,48.8
20220928,36.8
20220929,54.9
20220930,58.7
20221001,106.3
20221002,94.6
20221003,110.3
20221004,44.7
20221005,30.2
20221006,45.6
20221007,38.7
20221008,104.8
20221009,131.6
20221010,122.5
20221011,45.3
20221012,32.0
20221013,45.1
20221014,53.2
20221015,130.4
20221016,111.3
20221017,70.3
20221018,54.5
20221019,39.5
20221020,54.5
20221021,50.7
20221022,132.4
20221023,115.9
20221024,70.0
20221025,61.9
20221026,51.1
20221027,60.2
20221028,66.7
20221029,155.2
20221030,139.6
20221031,87.8
20221101,44.5
20221102,38.3
20221103,34.5
20221104,60.5
20221105,130.5
20221106,115.1
20221107,60.2
20221108,51.8
