기준연월,방문비율
20220811,115.9
20220812,136.8
20220813,181.4
20220814,140.7
20220815,185.4
20220816,138.2
20220817,126.1
20220818,123.2
20220819,156.6
20220820,219.1
20220821,162.2
20220822,189.7
20220823,161.8
20220824,155.4
20220825,169.6
20220826,193.6
20220827,240.6
20220828,208.3
20220829,214.8
20220830,186.9
20220831,175.6
20220901,126.5
20220902,137.7
20220903,202.8
20220904,141.6
20220905,100.1
20220906,72.7
20220907,41.2
20220908,64.5
20220909,237.8
20220910,251.2
20220911,176.6
20220912,223.7
20220913,51.4
20220914,50.3
20220915,63.4
20220916,83.1
20220917,170.6
20220918,141.8
20220919,91.9
20220920,78.4
20220921,46.0
20220922,70.1
20220923,100.8
20220924,173.1
20220925,143.9
20220926,117.9
20220927,98.1
20220928,88.1
20220929,97.9
20220930,127.5
20221001,182.1
20221002,131.6
20221003,143.6
20221004,82.3
20221005,74.9
20221006,97.1
20221007,90.6
20221008,153.4
20221009,117.8
20221010,144.8
20221011,53.8
20221012,41.1
20221013,53.1
20221014,84.8
20221015,158.6
20221016,118.6
20221017,80.6
20221018,60.2
20221019,48.0
20221020,67.7
20221021,93.5
20221022,162.4
20221023,138.1
20221024,111.4
20221025,106.3
20221026,93.4
20221027,102.5
20221028,137.6
20221029,190.3
20221030,163.9
20221031,128.5
20221101,93.0
20221102,75.8
20221103,78.0
20221104,108.1
20221105,170.3
20221106,132.7
20221107,70.9
20221108,49.9
