기준연월,방문비율
20220811,23.5
20220812,25.7
20220813,20.1
20220814,30.6
20220815,16.1
20220816,11.3
20220817,18.8
20220818,19.1
20220819,18.4
20220820,18.4
20220821,15.8
20220822,11.1
20220823,20.1
20220824,29.8
20220825,20.6
20220826,17.1
20220827,20.6
20220828,21.4
20220829,4.3
20220830,13.7
20220831,20.1
20220901,17.1
20220902,14.6
20220903,21.0
20220904,19.7
20220905,8.3
20220906,2.3
20220907,18.2
20220908,18.4
20220909,32.9
20220910,28.3
20220911,16.3
20220912,17.6
20220913,9.2
20220914,16.1
20220915,13.1
20220916,7.9
20220917,13.3
20220918,15.6
20220919,10.7
20220920,7.3
20220921,13.3
20220922,14.8
20220923,8.4
20220924,23.7
20220925,19.9
20220926,6.6
20220927,9.4
20220928,13.1
20220929,10.9
20220930,12.8
20221001,28.2
20221002,36.0
20221003,14.6
20221004,0.2
20221005,19.5
20221006,20.1
20221007,17.1
20221008,21.8
20221009,23.7
20221010,16.9
20221011,4.3
20221012,16.0
20221013,13.1
20221014,10.9
20221015,17.8
20221016,18.6
20221017,7.3
20221018,5.3
20221019,13.1
20221020,12.2
20221021,10.5
20221022,17.8
20221023,17.8
20221024,23.8
20221025,8.3
20221026,13.7
20221027,14.3
20221028,9.8
20221029,18.6
20221030,19.9
20221031,9.6
20221101,0.4
20221102,9.8
20221103,14.1
20221104,12.6
20221105,20.6
20221106,18.8
20221107,4.3
20221108,4.3
