기준연월,방문비율
20220811,336.0
20220812,350.1
20220813,386.3
20220814,420.5
20220815,392.4
20220816,372.2
20220817,370.2
20220818,397.4
20220819,388.3
20220820,441.6
20220821,340.0
20220822,315.9
20220823,353.1
20220824,356.1
20220825,403.4
20220826,381.3
20220827,437.6
20220828,406.4
20220829,297.8
20220830,360.2
20220831,333.0
20220901,169.0
20220902,207.2
20220903,286.7
20220904,253.5
20220905,203.2
20220906,182.1
20220907,163.0
20220908,222.3
20220909,334.0
20220910,377.3
20220911,372.2
20220912,392.4
20220913,246.5
20220914,239.4
20220915,252.5
20220916,251.5
20220917,323.9
20220918,293.8
20220919,291.8
20220920,282.7
20220921,260.6
20220922,267.6
20220923,290.7
20220924,371.2
20220925,380.3
20220926,292.8
20220927,279.7
20220928,272.6
20220929,267.6
20220930,275.7
20221001,271.6
20221002,299.8
20221003,267.6
20221004,226.4
20221005,212.3
20221006,257.5
20221007,253.5
20221008,355.1
20221009,369.2
20221010,318.9
20221011,243.5
20221012,258.6
20221013,286.7
20221014,273.6
20221015,377.3
20221016,361.2
20221017,253.5
20221018,291.8
20221019,285.7
20221020,329.0
20221021,326.0
20221022,388.3
20221023,412.5
20221024,328.0
20221025,376.3
20221026,337.0
20221027,367.2
20221028,370.2
20221029,409.5
20221030,415.5
20221031,274.6
20221101,239.4
20221102,260.6
20221103,309.9
20221104,332.0
20221105,390.3
20221106,380.3
20221107,295.8
20221108,285.7
