기준연월,방문비율
20220811,94.8
20220812,136.9
20220813,241.7
20220814,302.8
20220815,167.6
20220816,83.0
20220817,69.4
20220818,78.0
20220819,117.2
20220820,193.0
20220821,174.5
20220822,32.6
20220823,42.5
20220824,29.5
20220825,48.5
20220826,60.6
20220827,166.6
20220828,182.1
20220829,29.7
20220830,57.0
20220831,46.8
20220901,26.9
20220902,37.6
20220903,88.7
20220904,98.6
20220905,17.8
20220906,15.5
20220907,3.8
20220908,33.3
20220909,112.4
20220910,119.1
20220911,114.8
20220912,80.3
20220913,20.0
20220914,10.2
20220915,31.6
20220916,51.1
20220917,78.2
20220918,83.2
20220919,16.2
20220920,40.4
20220921,18.8
20220922,35.9
20220923,58.7
20220924,66.6
20220925,90.1
20220926,37.6
20220927,48.3
20220928,38.0
20220929,71.1
20220930,61.6
20221001,104.3
20221002,91.0
20221003,75.8
20221004,15.0
20221005,9.7
20221006,41.4
20221007,55.9
20221008,115.0
20221009,146.4
20221010,81.5
20221011,14.5
20221012,10.0
20221013,29.5
20221014,50.9
20221015,114.1
20221016,118.1
20221017,14.5
20221018,25.0
20221019,18.3
20221020,44.2
20221021,52.5
20221022,104.1
20221023,120.8
20221024,27.8
20221025,39.9
20221026,26.6
20221027,52.3
20221028,51.3
20221029,137.6
20221030,140.5
20221031,11.2
20221101,22.3
20221102,10.7
20221103,39.9
20221104,51.1
20221105,87.7
20221106,94.8
20221107,5.7
20221108,6.9
