기준연월,방문비율
20220811,25.6
20220812,25.6
20220813,30.3
20220814,26.4
20220815,17.9
20220816,7.0
20220817,22.5
20220818,17.1
20220819,18.2
20220820,32.2
20220821,25.2
20220822,10.1
20220823,23.7
20220824,23.7
20220825,4.3
20220826,5.4
20220827,21.7
20220828,15.1
20220829,1.9
20220830,23.3
20220831,23.3
20220901,21.7
20220902,20.2
20220903,19.0
20220904,13.2
20220905,9.7
20220906,25.2
20220907,25.6
20220908,11.6
20220909,20.2
20220910,18.6
20220911,16.7
20220912,10.1
20220913,24.1
20220914,23.7
20220915,12.4
20220916,15.5
20220917,23.7
20220918,18.2
20220919,12.0
20220920,24.5
20220921,24.1
20220922,14.4
20220923,15.1
20220924,25.2
20220925,8.2
20220926,7.4
20220927,24.5
20220928,24.1
20220929,13.2
20220930,10.9
20221001,28.7
20221002,14.0
20221003,2.7
20221004,25.2
20221005,24.8
20221006,14.0
20221007,16.7
20221008,19.0
20221009,11.6
20221010,0.4
20221011,25.2
20221012,24.8
20221013,14.8
20221014,16.3
20221015,19.4
20221016,11.6
20221017,7.0
20221018,24.5
20221019,24.1
20221020,17.1
20221021,15.5
20221022,15.5
20221023,1.6
20221024,14.4
20221025,24.5
20221026,24.5
20221027,15.5
20221028,15.1
20221029,18.2
20221030,5.8
20221031,8.2
20221101,24.8
20221102,24.5
20221103,12.0
20221104,17.1
20221105,25.6
20221106,11.6
20221107,10.9
20221108,24.8
