기준연월,방문비율
20220811,67.8
20220812,70.7
20220813,122.5
20220814,194.3
20220815,69.0
20220816,65.5
20220817,53.5
20220818,45.9
20220819,59.4
20220820,92.0
20220821,95.0
20220822,18.9
20220823,32.8
20220824,30.1
20220825,32.8
20220826,43.6
20220827,86.1
20220828,96.8
20220829,30.7
20220830,16.6
20220831,20.0
20220901,24.4
20220902,10.1
20220903,78.3
20220904,94.1
20220905,22.3
20220906,8.8
20220907,6.9
20220908,25.7
20220909,93.3
20220910,84.4
20220911,108.6
20220912,68.2
20220913,21.3
20220914,25.7
20220915,35.2
20220916,33.9
20220917,61.7
20220918,84.8
20220919,21.1
20220920,24.6
20220921,18.7
20220922,25.3
20220923,29.1
20220924,67.0
20220925,77.1
20220926,11.0
20220927,17.1
20220928,21.3
20220929,27.8
20220930,17.3
20221001,84.4
20221002,109.1
20221003,64.6
20221004,9.7
20221005,7.8
20221006,37.0
20221007,31.4
20221008,99.0
20221009,100.8
20221010,66.9
20221011,25.1
20221012,24.8
20221013,35.0
20221014,37.5
20221015,81.3
20221016,80.2
20221017,17.9
20221018,28.6
20221019,35.0
20221020,37.9
20221021,27.0
20221022,94.1
20221023,111.8
20221024,23.4
20221025,25.3
20221026,27.8
20221027,30.9
20221028,33.5
20221029,99.6
20221030,117.7
20221031,21.1
20221101,19.2
20221102,5.9
20221103,22.1
20221104,29.1
20221105,88.4
20221106,100.0
20221107,19.6
20221108,6.5
