기준연월,방문비율
20220811,170.3
20220812,174.9
20220813,349.5
20220814,317.4
20220815,191.5
20220816,143.3
20220817,154.3
20220818,143.3
20220819,160.3
20220820,350.8
20220821,311.4
20220822,113.1
20220823,106.6
20220824,119.6
20220825,112.4
20220826,130.8
20220827,338.6
20220828,313.9
20220829,98.9
20220830,116.1
20220831,131.8
20220901,34.8
20220902,46.3
20220903,91.8
20220904,76.2
20220905,23.2
20220906,17.5
20220907,17.9
20220908,22.4
20220909,77.0
20220910,97.8
20220911,84.1
20220912,60.9
20220913,19.8
20220914,24.0
20220915,26.1
20220916,39.2
20220917,85.1
20220918,68.6
20220919,26.7
20220920,19.2
20220921,17.1
20220922,15.9
20220923,32.7
20220924,84.5
20220925,79.1
20220926,25.6
20220927,17.6
20220928,19.3
20220929,21.9
20220930,30.4
20221001,101.2
20221002,89.4
20221003,60.7
20221004,17.8
20221005,19.4
20221006,25.2
20221007,38.4
20221008,90.0
20221009,91.1
20221010,66.1
20221011,21.4
20221012,24.3
20221013,25.4
20221014,39.5
20221015,86.4
20221016,77.8
20221017,25.0
20221018,18.7
20221019,19.1
20221020,22.3
20221021,34.3
20221022,87.9
20221023,83.1
20221024,25.8
20221025,18.9
20221026,20.1
20221027,23.2
20221028,36.0
20221029,84.9
20221030,79.8
20221031,20.9
20221101,15.9
20221102,16.4
20221103,18.3
20221104,32.8
20221105,76.0
20221106,62.6
20221107,17.1
20221108,13.8
