기준연월,방문비율
20220811,144.6
20220812,166.1
20220813,401.8
20220814,344.6
20220815,316.1
20220816,182.1
20220817,169.6
20220818,160.7
20220819,164.3
20220820,312.5
20220821,255.4
20220822,148.2
20220823,155.4
20220824,153.6
20220825,175.0
20220826,208.9
20220827,355.4
20220828,307.1
20220829,192.9
20220830,225.0
20220831,176.8
20220901,153.6
20220902,173.2
20220903,391.1
20220904,378.6
20220905,137.5
20220906,125.0
20220907,75.0
20220908,116.1
20220909,337.5
20220910,410.7
20220911,414.3
20220912,423.2
20220913,132.1
20220914,100.0
20220915,142.9
20220916,148.2
20220917,303.6
20220918,285.7
20220919,146.4
20220920,151.8
20220921,119.6
20220922,135.7
20220923,162.5
20220924,344.6
20220925,280.4
20220926,142.9
20220927,144.6
20220928,132.1
20220929,137.5
20220930,255.4
20221001,317.9
20221002,353.6
20221003,271.4
20221004,114.3
20221005,87.5
20221006,139.3
20221007,150.0
20221008,303.6
20221009,273.2
20221010,342.9
20221011,132.1
20221012,107.1
20221013,132.1
20221014,148.2
20221015,230.4
20221016,171.4
20221017,123.2
20221018,135.7
20221019,107.1
20221020,137.5
20221021,137.5
20221022,267.9
20221023,244.6
20221024,119.6
20221025,130.4
20221026,128.6
20221027,142.9
20221028,167.9
20221029,312.5
20221030,391.1
20221031,142.9
20221101,126.8
20221102,78.6
20221103,101.8
20221104,132.1
20221105,276.8
20221106,292.9
20221107,110.7
20221108,80.4
