기준연월,방문비율
20220811,60.9
20220812,106.6
20220813,224.2
20220814,256.5
20220815,137.3
20220816,79.5
20220817,87.3
20220818,88.7
20220819,110.7
20220820,216.1
20220821,201.9
20220822,26.6
20220823,55.4
20220824,65.5
20220825,69.4
20220826,108.4
20220827,216.4
20220828,201.0
20220829,34.9
20220830,62.9
20220831,60.2
20220901,38.1
20220902,47.3
20220903,158.5
20220904,144.2
20220905,23.2
20220906,29.9
20220907,29.9
20220908,36.5
20220909,134.1
20220910,181.7
20220911,127.2
20220912,114.4
20220913,41.3
20220914,53.1
20220915,45.0
20220916,62.7
20220917,144.7
20220918,136.9
20220919,34.9
20220920,49.6
20220921,49.8
20220922,50.5
20220923,79.2
20220924,150.0
20220925,157.1
20220926,34.9
20220927,42.7
20220928,49.4
20220929,59.9
20220930,80.8
20221001,441.2
20221002,436.8
20221003,375.5
20221004,102.4
20221005,83.8
20221006,87.5
20221007,111.9
20221008,460.7
20221009,493.6
20221010,379.0
20221011,91.4
20221012,94.9
20221013,98.5
20221014,113.7
20221015,384.5
20221016,383.3
20221017,77.4
20221018,83.8
20221019,84.7
20221020,81.3
20221021,100.4
20221022,217.5
20221023,210.8
20221024,59.0
20221025,52.1
20221026,55.8
20221027,56.3
20221028,78.3
20221029,243.2
20221030,257.2
20221031,46.4
20221101,28.7
20221102,24.1
20221103,21.4
20221104,42.5
20221105,91.6
20221106,78.5
20221107,16.8
20221108,20.4
