광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,홍천군,10.8,12.2
강원도,춘천시,10.8,18.3
강원도,횡성군,10.8,12.6
강원도,강릉시,10.8,13.1
강원도,정선군,10.8,3.5
강원도,평창군,10.8,5.0
강원도,삼척시,10.8,4.5
강원도,속초시,10.8,2.4
강원도,동해시,10.8,4.4
강원도,태백시,10.8,5.3
강원도,인제군,10.8,2.5
강원도,고성군,10.8,1.2
강원도,화천군,10.8,2.1
강원도,영월군,10.8,7.7
강원도,철원군,10.8,0.9
강원도,양구군,10.8,0.3
강원도,양양군,10.8,0.5
강원도,원주시,10.8,3.5
경기도,화성시,36.6,3.9
경기도,용인시 기흥구,36.6,4.3
경기도,성남시 분당구,36.6,2.6
경기도,광주시,36.6,3.7
경기도,남양주시,36.6,5.8
경기도,시흥시,36.6,2.2
경기도,의정부시,36.6,3.2
경기도,과천시,36.6,1.0
경기도,용인시 처인구,36.6,7.3
경기도,여주시,36.6,7.0
경기도,안양시 동안구,36.6,2.3
경기도,수원시 영통구,36.6,2.5
경기도,안산시 단원구,36.6,1.5
경기도,파주시,36.6,2.7
경기도,수원시 장안구,36.6,1.6
경기도,광명시,36.6,1.4
경기도,고양시 덕양구,36.6,2.6
경기도,연천군,36.6,0.3
경기도,포천시,36.6,0.7
경기도,평택시,36.6,1.0
경기도,안양시 만안구,36.6,1.4
경기도,하남시,36.6,3.1
경기도,수원시 권선구,36.6,2.3
경기도,성남시 수정구,36.6,1.8
경기도,이천시,36.6,3.3
경기도,안산시 상록구,36.6,1.2
경기도,부천시,36.6,5.7
경기도,용인시 수지구,36.6,2.1
경기도,양평군,36.6,7.7
경기도,김포시,36.6,1.8
경기도,군포시,36.6,1.2
경기도,의왕시,36.6,0.9
경기도,고양시 일산서구,36.6,1.5
경기도,안성시,36.6,0.7
경기도,수원시 팔달구,36.6,0.8
경기도,구리시,36.6,1.8
경기도,성남시 중원구,36.6,1.1
경기도,양주시,36.6,1.4
경기도,오산시,36.6,0.6
경기도,고양시 일산동구,36.6,1.4
경기도,동두천시,36.6,0.3
경기도,가평군,36.6,0.0
경상남도,창원시 진해구,1.1,29.5
경상남도,사천시,1.1,4.7
경상남도,함안군,1.1,7.8
경상남도,창원시 마산회원구,1.1,6.6
경상남도,창원시 의창구,1.1,9.4
경상남도,거제시,1.1,3.1
경상남도,밀양시,1.1,4.7
경상남도,창원시 성산구,1.1,1.6
경상남도,합천군,1.1,3.1
경상남도,남해군,1.1,6.2
경상남도,양산시,1.1,14.0
경상남도,창녕군,1.1,1.6
경상남도,창원시 마산합포구,1.1,3.1
경상남도,진주시,1.1,4.9
경상북도,안동시,3.5,22.8
경상북도,포항시 남구,3.5,1.4
경상북도,문경시,3.5,1.9
경상북도,구미시,3.5,3.4
경상북도,영천시,3.5,0.5
경상북도,의성군,3.5,4.3
경상북도,봉화군,3.5,1.5
경상북도,포항시 북구,3.5,2.9
경상북도,영주시,3.5,35.4
경상북도,상주시,3.5,1.5
경상북도,영양군,3.5,0.5
경상북도,예천군,3.5,6.9
경상북도,경주시,3.5,2.9
경상북도,경산시,3.5,3.5
경상북도,울진군,3.5,1.0
경상북도,성주군,3.5,0.5
경상북도,청도군,3.5,4.3
경상북도,김천시,3.5,1.0
경상북도,군위군,3.5,0.5
경상북도,칠곡군,3.5,1.5
경상북도,청송군,3.5,1.4
경상북도,영덕군,3.5,0.5
광주광역시,서구,0.3,18.5
광주광역시,동구,0.3,6.2
광주광역시,남구,0.3,24.6
광주광역시,북구,0.3,18.5
광주광역시,광산구,0.3,32.2
대구광역시,달성군,0.9,9.1
대구광역시,서구,0.9,10.9
대구광역시,달서구,0.9,20.1
대구광역시,동구,0.9,3.6
대구광역시,북구,0.9,37.7
대구광역시,수성구,0.9,9.1
대구광역시,남구,0.9,7.6
대구광역시,중구,0.9,1.8
대전광역시,유성구,2.3,57.1
