광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,강릉시,5.7,10.9
강원도,춘천시,5.7,20.4
강원도,횡성군,5.7,36.1
강원도,태백시,5.7,2.7
강원도,고성군,5.7,2.7
강원도,영월군,5.7,1.4
강원도,평창군,5.7,5.4
강원도,홍천군,5.7,6.8
강원도,삼척시,5.7,1.4
강원도,양양군,5.7,0.7
강원도,동해시,5.7,1.4
강원도,인제군,5.7,3.4
강원도,정선군,5.7,3.4
강원도,원주시,5.7,3.4
경기도,용인시 기흥구,45.5,5.2
경기도,화성시,45.5,5.9
경기도,여주시,45.5,6.8
경기도,성남시 분당구,45.5,7.0
경기도,이천시,45.5,3.8
경기도,수원시 영통구,45.5,4.0
경기도,용인시 수지구,45.5,3.4
경기도,안산시 단원구,45.5,2.8
경기도,용인시 처인구,45.5,2.9
경기도,부천시,45.5,4.2
경기도,평택시,45.5,3.2
경기도,성남시 수정구,45.5,1.5
경기도,김포시,45.5,2.4
경기도,수원시 권선구,45.5,2.0
경기도,시흥시,45.5,1.9
경기도,남양주시,45.5,2.1
경기도,광주시,45.5,3.2
경기도,광명시,45.5,2.1
경기도,군포시,45.5,2.6
경기도,고양시 일산동구,45.5,3.0
경기도,하남시,45.5,2.2
경기도,안양시 동안구,45.5,4.1
경기도,파주시,45.5,1.6
경기도,고양시 덕양구,45.5,1.8
경기도,양주시,45.5,0.9
경기도,수원시 장안구,45.5,0.9
경기도,안산시 상록구,45.5,1.7
경기도,구리시,45.5,1.5
경기도,포천시,45.5,0.4
경기도,의왕시,45.5,0.8
경기도,수원시 팔달구,45.5,1.5
경기도,안성시,45.5,0.7
경기도,과천시,45.5,0.9
경기도,안양시 만안구,45.5,0.8
경기도,고양시 일산서구,45.5,2.8
경기도,가평군,45.5,0.7
경기도,의정부시,45.5,1.2
경기도,성남시 중원구,45.5,0.9
경기도,양평군,45.5,2.8
경기도,동두천시,45.5,0.4
경기도,오산시,45.5,1.4
경상남도,창원시 의창구,0.7,10.5
경상남도,진주시,0.7,15.8
경상남도,창원시 성산구,0.7,5.3
경상남도,창원시 마산회원구,0.7,15.8
경상남도,밀양시,0.7,5.3
경상남도,통영시,0.7,15.8
경상남도,거제시,0.7,10.5
경상남도,남해군,0.7,5.3
경상남도,창원시 마산합포구,0.7,10.5
경상남도,함양군,0.7,5.3
경상북도,포항시 북구,1.5,10.3
경상북도,구미시,1.5,2.6
경상북도,청도군,1.5,2.6
경상북도,상주시,1.5,7.7
경상북도,안동시,1.5,12.8
경상북도,문경시,1.5,2.6
경상북도,경산시,1.5,5.1
경상북도,경주시,1.5,2.6
경상북도,칠곡군,1.5,7.7
경상북도,김천시,1.5,10.3
경상북도,포항시 남구,1.5,10.3
경상북도,영주시,1.5,12.8
경상북도,영덕군,1.5,5.1
경상북도,청송군,1.5,2.6
경상북도,영양군,1.5,2.6
경상북도,예천군,1.5,2.6
광주광역시,북구,0.1,50.0
광주광역시,남구,0.1,50.0
대구광역시,북구,0.6,6.6
대구광역시,수성구,0.6,34.1
대구광역시,달서구,0.6,6.6
대구광역시,달성군,0.6,19.8
대구광역시,중구,0.6,13.2
대구광역시,남구,0.6,6.6
대구광역시,동구,0.6,13.2
대전광역시,유성구,2.2,21.1
대전광역시,서구,2.2,36.8
대전광역시,동구,2.2,14.0
대전광역시,대덕구,2.2,12.3
대전광역시,중구,2.2,15.8
부산광역시,수영구,1.1,17.9
부산광역시,해운대구,1.1,17.9
부산광역시,부산진구,1.1,32.1
부산광역시,동래구,1.1,10.7
부산광역시,연제구,1.1,7.1
부산광역시,북구,1.1,3.6
부산광역시,사상구,1.1,3.6
부산광역시,남구,1.1,7.1
서울특별시,동작구,26.4,5.0
서울특별시,강남구,26.4,7.7
서울특별시,마포구,26.4,3.7
서울특별시,양천구,26.4,3.4
서울특별시,동대문구,26.4,9.4
서울특별시,성북구,26.4,3.7
서울특별시,용산구,26.4,2.7
