기준연월,방문비율
20220811,77.9
20220812,140.2
20220813,262.3
20220814,217.7
20220815,234.9
20220816,119.4
20220817,105.3
20220818,86.1
20220819,122.6
20220820,251.0
20220821,188.3
20220822,85.0
20220823,75.2
20220824,67.0
20220825,72.0
20220826,114.7
20220827,211.4
20220828,167.2
20220829,83.0
20220830,63.4
20220831,50.1
20220901,57.6
20220902,89.3
20220903,146.0
20220904,122.9
20220905,66.2
20220906,50.5
20220907,45.4
20220908,52.5
20220909,193.4
20220910,199.3
20220911,151.1
20220912,166.0
20220913,48.6
20220914,43.1
20220915,61.5
20220916,114.7
20220917,173.5
20220918,136.6
20220919,68.5
20220920,53.6
20220921,54.4
20220922,61.5
20220923,112.0
20220924,166.0
20220925,136.3
20220926,70.9
20220927,52.5
20220928,56.8
20220929,66.6
20220930,130.8
20221001,164.4
20221002,121.0
20221003,151.9
20221004,58.7
20221005,67.3
20221006,79.5
20221007,142.9
20221008,204.0
20221009,164.4
20221010,171.9
20221011,57.6
20221012,61.1
20221013,64.6
20221014,124.1
20221015,198.5
20221016,153.9
20221017,74.8
20221018,66.2
20221019,70.1
20221020,70.5
20221021,128.0
20221022,193.8
20221023,161.3
20221024,82.6
20221025,68.9
20221026,65.8
20221027,67.0
20221028,133.5
20221029,199.7
20221030,156.6
20221031,80.7
20221101,52.9
20221102,52.1
20221103,61.9
20221104,131.2
20221105,172.3
20221106,130.4
20221107,76.4
20221108,48.9
