기준연월,방문비율
20220811,44.8
20220812,42.6
20220813,84.7
20220814,142.3
20220815,47.1
20220816,28.9
20220817,35.8
20220818,32.7
20220819,37.3
20220820,74.5
20220821,100.1
20220822,16.2
20220823,26.1
20220824,27.6
20220825,25.2
20220826,21.5
20220827,59.6
20220828,49.7
20220829,11.8
20220830,16.8
20220831,29.6
20220901,30.0
20220902,39.1
20220903,60.0
20220904,24.2
20220905,15.6
20220906,21.3
20220907,22.3
20220908,18.7
20220909,47.2
20220910,66.1
20220911,29.3
20220912,36.1
20220913,27.9
20220914,32.0
20220915,28.2
20220916,33.7
20220917,60.6
20220918,26.2
20220919,23.7
20220920,31.1
20220921,38.8
20220922,26.2
20220923,31.7
20220924,58.4
20220925,41.9
20220926,19.8
20220927,24.9
20220928,32.7
20220929,21.5
20220930,25.8
20221001,73.7
20221002,40.8
20221003,35.9
20221004,22.9
20221005,25.0
20221006,18.4
20221007,26.2
20221008,56.4
20221009,39.9
20221010,38.7
20221011,25.2
20221012,31.5
20221013,27.1
20221014,38.0
20221015,67.9
20221016,43.5
20221017,25.4
20221018,30.9
20221019,38.7
20221020,37.5
20221021,40.3
20221022,69.1
20221023,62.0
20221024,24.6
20221025,29.9
20221026,31.7
20221027,25.5
20221028,35.8
20221029,64.8
20221030,46.4
20221031,24.0
20221101,25.4
20221102,26.7
20221103,24.0
20221104,41.2
20221105,57.4
20221106,11.0
20221107,10.8
20221108,21.8
