기준연월,방문비율
20220811,31.4
20220812,33.6
20220813,42.4
20220814,27.9
20220815,44.9
20220816,27.8
20220817,30.8
20220818,31.3
20220819,34.2
20220820,43.7
20220821,37.6
20220822,33.6
20220823,29.0
20220824,34.6
20220825,36.6
20220826,34.9
20220827,41.5
20220828,40.7
20220829,32.4
20220830,30.7
20220831,31.3
20220901,17.6
20220902,28.6
20220903,38.2
20220904,31.4
20220905,17.8
20220906,17.9
20220907,16.7
20220908,20.2
20220909,81.5
20220910,82.1
20220911,75.1
20220912,75.4
20220913,24.2
20220914,25.4
20220915,26.0
20220916,27.7
20220917,45.9
20220918,36.7
20220919,25.3
20220920,25.4
20220921,26.6
20220922,28.0
20220923,26.4
20220924,48.8
20220925,37.4
20220926,29.0
20220927,30.8
20220928,28.5
20220929,29.4
20220930,29.9
20221001,38.7
20221002,32.1
20221003,27.4
20221004,16.1
20221005,18.9
20221006,21.8
20221007,24.8
20221008,41.9
20221009,40.5
20221010,40.4
20221011,18.7
20221012,20.7
20221013,19.4
20221014,26.0
20221015,39.6
20221016,30.9
20221017,19.4
20221018,19.6
20221019,21.3
20221020,25.0
20221021,27.7
20221022,41.9
20221023,30.4
20221024,27.1
20221025,23.6
20221026,24.4
20221027,26.5
20221028,27.8
20221029,42.0
20221030,41.8
20221031,27.7
20221101,20.2
20221102,18.7
20221103,15.4
20221104,24.4
20221105,39.6
20221106,34.5
20221107,15.7
20221108,18.4
