기준연월,방문비율
20220811,81.1
20220812,82.0
20220813,113.1
20220814,164.9
20220815,103.7
20220816,58.6
20220817,73.7
20220818,79.7
20220819,84.3
20220820,107.4
20220821,94.9
20220822,79.1
20220823,64.0
20220824,75.1
20220825,76.3
20220826,71.4
20220827,96.9
20220828,108.9
20220829,84.0
20220830,73.7
20220831,80.3
20220901,74.0
20220902,81.4
20220903,117.4
20220904,89.7
20220905,52.3
20220906,63.4
20220907,73.7
20220908,61.4
20220909,104.9
20220910,112.0
20220911,108.0
20220912,116.9
20220913,74.3
20220914,82.3
20220915,77.7
20220916,81.4
20220917,105.1
20220918,94.3
20220919,78.9
20220920,78.6
20220921,82.9
20220922,74.3
20220923,81.1
20220924,101.1
20220925,112.3
20220926,84.9
20220927,73.7
20220928,82.0
20220929,82.3
20220930,86.3
20221001,106.0
20221002,82.0
20221003,95.4
20221004,63.1
20221005,67.1
20221006,69.1
20221007,75.7
20221008,79.4
20221009,81.1
20221010,92.6
20221011,58.3
20221012,73.4
20221013,75.1
20221014,81.7
20221015,88.0
20221016,74.3
20221017,60.0
20221018,64.0
20221019,86.9
20221020,80.3
20221021,76.6
20221022,85.7
20221023,97.1
20221024,84.3
20221025,85.1
20221026,89.7
20221027,84.6
20221028,90.0
20221029,106.6
20221030,118.3
20221031,91.7
20221101,62.3
20221102,73.4
20221103,84.3
20221104,91.4
20221105,96.3
20221106,92.9
20221107,74.6
20221108,65.4
