기준연월,방문비율
20220811,66.2
20220812,54.5
20220813,143.6
20220814,181.6
20220815,178.5
20220816,77.0
20220817,73.4
20220818,78.7
20220819,72.5
20220820,128.5
20220821,102.9
20220822,63.7
20220823,67.9
20220824,68.8
20220825,74.4
20220826,68.2
20220827,144.2
20220828,136.4
20220829,81.7
20220830,62.1
20220831,76.1
20220901,59.6
20220902,83.9
20220903,171.8
20220904,168.5
20220905,38.8
20220906,37.8
20220907,30.4
20220908,47.2
20220909,236.2
20220910,276.5
20220911,253.9
20220912,201.7
20220913,51.5
20220914,59.8
20220915,76.0
20220916,73.4
20220917,181.6
20220918,174.4
20220919,67.8
20220920,77.0
20220921,68.8
20220922,79.1
20220923,82.7
20220924,180.0
20220925,182.7
20220926,79.7
20220927,85.9
20220928,90.6
20220929,99.3
20220930,65.3
20221001,191.9
20221002,230.5
20221003,203.0
20221004,45.5
20221005,51.5
20221006,62.4
20221007,79.4
20221008,225.3
20221009,309.6
20221010,232.2
20221011,70.5
20221012,71.8
20221013,81.7
20221014,92.2
20221015,231.5
20221016,206.2
20221017,78.5
20221018,85.2
20221019,80.4
20221020,87.6
20221021,88.0
20221022,199.0
20221023,205.4
20221024,92.4
20221025,99.3
20221026,98.7
20221027,109.3
20221028,110.2
20221029,209.9
20221030,189.9
20221031,87.6
20221101,65.2
20221102,74.5
20221103,70.8
20221104,98.8
20221105,213.2
20221106,200.5
20221107,55.7
20221108,54.1
