기준연월,방문비율
20220811,63.0
20220812,80.7
20220813,96.3
20220814,134.5
20220815,125.8
20220816,100.6
20220817,93.2
20220818,100.0
20220819,116.2
20220820,124.5
20220821,104.6
20220822,89.5
20220823,111.1
20220824,117.5
20220825,119.7
20220826,116.4
20220827,118.4
20220828,131.0
20220829,112.2
20220830,114.4
20220831,105.4
20220901,100.4
20220902,94.9
20220903,123.6
20220904,102.2
20220905,81.4
20220906,82.0
20220907,70.0
20220908,89.7
20220909,140.0
20220910,156.6
20220911,161.9
20220912,167.4
20220913,103.3
20220914,101.7
20220915,110.7
20220916,118.8
20220917,131.3
20220918,118.1
20220919,94.5
20220920,103.7
20220921,87.1
20220922,110.9
20220923,140.9
20220924,156.6
20220925,140.2
20220926,98.9
20220927,114.4
20220928,107.0
20220929,116.2
20220930,127.8
20221001,145.5
20221002,110.7
20221003,122.5
20221004,90.8
20221005,85.1
20221006,78.8
20221007,104.4
20221008,122.7
20221009,128.4
20221010,127.3
20221011,91.0
20221012,99.1
20221013,99.5
20221014,114.4
20221015,134.8
20221016,123.6
20221017,94.9
20221018,108.9
20221019,98.7
20221020,100.2
20221021,120.8
20221022,144.4
20221023,132.4
20221024,153.8
20221025,134.1
20221026,115.5
20221027,124.7
20221028,144.6
20221029,169.3
20221030,159.7
20221031,135.0
20221101,97.4
20221102,86.9
20221103,84.2
20221104,107.4
20221105,131.7
20221106,118.6
20221107,79.2
20221108,95.4
