기준연월,방문비율
20220811,70.4
20220812,93.2
20220813,178.1
20220814,154.3
20220815,106.0
20220816,78.1
20220817,68.7
20220818,68.4
20220819,78.5
20220820,152.6
20220821,129.4
20220822,83.2
20220823,49.3
20220824,35.2
20220825,46.3
20220826,63.4
20220827,150.2
20220828,133.1
20220829,68.4
20220830,57.3
20220831,49.3
20220901,62.7
20220902,72.1
20220903,101.9
20220904,84.8
20220905,39.6
20220906,27.2
20220907,21.8
20220908,38.2
20220909,95.6
20220910,104.6
20220911,100.3
20220912,104.3
20220913,39.6
20220914,37.2
20220915,35.2
20220916,43.6
20220917,84.8
20220918,69.8
20220919,60.0
20220920,42.3
20220921,28.5
20220922,31.9
20220923,43.9
20220924,101.3
20220925,91.9
20220926,62.7
20220927,45.3
20220928,35.5
20220929,34.9
20220930,34.2
20221001,112.3
20221002,86.5
20221003,84.2
20221004,21.8
20221005,25.8
20221006,40.6
20221007,44.6
20221008,115.0
20221009,110.7
20221010,94.9
20221011,36.9
20221012,37.9
20221013,42.6
20221014,53.3
20221015,109.0
20221016,94.9
20221017,59.0
20221018,39.6
20221019,35.5
20221020,33.2
20221021,50.6
20221022,119.0
20221023,116.4
20221024,76.8
20221025,60.7
20221026,53.7
20221027,54.0
20221028,55.0
20221029,115.4
20221030,102.6
20221031,61.4
20221101,25.2
20221102,17.4
20221103,7.0
20221104,30.9
20221105,81.2
20221106,84.2
20221107,49.0
20221108,28.2
