광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,삼척시,51.0,16.4
강원도,정선군,51.0,11.4
강원도,춘천시,51.0,7.5
강원도,원주시,51.0,13.3
강원도,강릉시,51.0,15.1
강원도,동해시,51.0,24.1
강원도,평창군,51.0,2.3
강원도,양양군,51.0,1.7
강원도,영월군,51.0,1.5
강원도,고성군,51.0,0.7
강원도,속초시,51.0,1.8
강원도,횡성군,51.0,1.0
강원도,화천군,51.0,0.2
강원도,인제군,51.0,0.3
강원도,철원군,51.0,0.2
강원도,태백시,51.0,2.4
경기도,부천시,16.5,6.1
경기도,양주시,16.5,4.0
경기도,오산시,16.5,3.7
경기도,파주시,16.5,2.7
경기도,의정부시,16.5,2.0
경기도,동두천시,16.5,2.0
경기도,평택시,16.5,11.1
경기도,안성시,16.5,6.7
경기도,시흥시,16.5,3.4
경기도,고양시 일산서구,16.5,2.7
경기도,수원시 권선구,16.5,4.7
경기도,하남시,16.5,3.7
경기도,수원시 장안구,16.5,1.7
경기도,안산시 단원구,16.5,10.4
경기도,고양시 일산동구,16.5,1.0
경기도,여주시,16.5,0.3
경기도,광명시,16.5,0.3
경기도,광주시,16.5,2.4
경기도,용인시 수지구,16.5,0.3
경기도,수원시 팔달구,16.5,0.3
경기도,안양시 동안구,16.5,0.3
경기도,화성시,16.5,2.0
경기도,안양시 만안구,16.5,1.3
경기도,용인시 기흥구,16.5,0.7
경기도,성남시 중원구,16.5,0.3
경기도,안산시 상록구,16.5,3.7
경기도,수원시 영통구,16.5,4.7
경기도,남양주시,16.5,2.7
경기도,성남시 분당구,16.5,5.4
경기도,용인시 처인구,16.5,0.7
경기도,의왕시,16.5,0.7
경기도,구리시,16.5,3.0
경기도,이천시,16.5,0.7
경기도,김포시,16.5,1.8
경기도,고양시 덕양구,16.5,1.3
경기도,군포시,16.5,1.0
경상남도,창원시 성산구,1.0,29.1
경상남도,창원시 마산회원구,1.0,17.5
경상남도,하동군,1.0,5.8
경상남도,양산시,1.0,11.7
경상남도,진주시,1.0,11.7
경상남도,거제시,1.0,11.7
경상남도,창원시 의창구,1.0,12.6
경상북도,봉화군,8.6,41.9
경상북도,울진군,8.6,5.2
경상북도,영주시,8.6,22.6
경상북도,상주시,8.6,4.5
경상북도,김천시,8.6,1.3
경상북도,문경시,8.6,1.9
경상북도,경산시,8.6,1.3
경상북도,구미시,8.6,2.6
경상북도,포항시 북구,8.6,5.8
경상북도,안동시,8.6,1.9
경상북도,예천군,8.6,1.3
경상북도,영양군,8.6,0.6
경상북도,경주시,8.6,0.6
경상북도,포항시 남구,8.6,0.6
경상북도,영천시,8.6,0.6
경상북도,칠곡군,8.6,6.4
경상북도,군위군,8.6,0.6
광주광역시,북구,0.2,100.0
대구광역시,동구,4.0,39.1
대구광역시,달서구,4.0,5.5
대구광역시,남구,4.0,1.4
대구광역시,서구,4.0,16.6
대구광역시,중구,4.0,5.5
대구광역시,북구,4.0,15.2
대구광역시,달성군,4.0,15.2
대구광역시,수성구,4.0,1.4
대전광역시,유성구,1.2,38.1
대전광역시,서구,1.2,47.6
대전광역시,동구,1.2,9.5
대전광역시,대덕구,1.2,4.8
부산광역시,사상구,1.3,25.0
부산광역시,기장군,1.3,20.8
부산광역시,금정구,1.3,16.7
부산광역시,수영구,1.3,12.5
부산광역시,부산진구,1.3,20.8
부산광역시,남구,1.3,4.2
서울특별시,동대문구,7.3,13.7
서울특별시,노원구,7.3,2.3
서울특별시,영등포구,7.3,8.4
서울특별시,관악구,7.3,2.3
서울특별시,동작구,7.3,3.1
서울특별시,양천구,7.3,1.5
서울특별시,강서구,7.3,2.3
서울특별시,은평구,7.3,6.9
서울특별시,강동구,7.3,5.3
서울특별시,중랑구,7.3,4.6
서울특별시,강남구,7.3,3.8
서울특별시,성북구,7.3,10.7
서울특별시,송파구,7.3,8.4
서울특별시,성동구,7.3,3.1
서울특별시,구로구,7.3,1.5
서울특별시,마포구,7.3,6.9
서울특별시,광진구,7.3,2.3
서울특별시,중구,7.3,1.5
서울특별시,용산구,7.3,9.9
서울특별시,도봉구,7.3,0.8
서울특별시,종로구,7.3,0.8
세종특별자치시,세종특별자치시,0.1,100.0
울산광역시,남구,2.0,27.8
울산광역시,울주군,2.0,22.2
울산광역시,중구,2.0,13.9
울산광역시,동구,2.0,36.1
인천광역시,미추홀구,2.1,15.8
인천광역시,부평구,2.1,13.2
인천광역시,남동구,2.1,21.1
인천광역시,서구,2.1,7.9
인천광역시,계양구,2.1,10.5
인천광역시,중구,2.1,18.4
인천광역시,연수구,2.1,7.9
인천광역시,옹진군,2.1,5.3
전라남도,영암군,0.2,33.3
전라남도,해남군,0.2,33.3
전라남도,장흥군,0.2,33.3
전라북도,익산시,0.6,50.0
전라북도,전주시 덕진구,0.6,20.0
전라북도,군산시,0.6,20.0
전라북도,정읍시,0.6,10.0
제주특별자치도,서귀포시,0.1,100.0
충청남도,당진시,1.9,8.6
충청남도,천안시 동남구,1.9,11.4
충청남도,천안시 서북구,1.9,34.3
충청남도,아산시,1.9,25.7
충청남도,금산군,1.9,2.9
충청남도,부여군,1.9,2.9
충청남도,서천군,1.9,2.9
충청남도,홍성군,1.9,11.4
충청북도,제천시,2.1,18.7
충청북도,청주시 흥덕구,2.1,10.7
충청북도,음성군,2.1,37.3
충청북도,청주시 서원구,2.1,2.7
충청북도,충주시,2.1,13.3
충청북도,진천군,2.1,2.7
충청북도,단양군,2.1,8.9
충청북도,청주시 상당구,2.1,5.8
