기준연월,방문비율
20220811,160.9
20220812,136.1
20220813,190.3
20220814,281.2
20220815,171.3
20220816,134.3
20220817,198.9
20220818,156.9
20220819,144.2
20220820,210.7
20220821,232.4
20220822,79.1
20220823,100.8
20220824,178.1
20220825,184.4
20220826,173.1
20220827,366.6
20220828,288.4
20220829,57.9
20220830,85.9
20220831,160.0
20220901,50.2
20220902,88.2
20220903,297.0
20220904,247.7
20220905,104.0
20220906,55.6
20220907,101.7
20220908,65.1
20220909,416.4
20220910,471.5
20220911,607.1
20220912,355.3
20220913,46.6
20220914,103.5
20220915,130.2
20220916,120.7
20220917,355.8
20220918,384.3
20220919,81.4
20220920,74.6
20220921,101.7
20220922,90.9
20220923,166.8
20220924,417.3
20220925,502.3
20220926,115.7
20220927,100.8
20220928,126.1
20220929,111.2
20220930,138.8
20221001,486.4
20221002,673.1
20221003,460.2
20221004,0.5
20221005,104.4
20221006,149.2
20221007,112.1
20221008,623.9
20221009,837.3
20221010,374.3
20221011,132.0
20221012,151.9
20221013,151.4
20221014,132.0
20221015,681.3
20221016,800.2
20221017,53.8
20221018,171.3
20221019,179.5
20221020,192.6
20221021,160.5
20221022,793.4
20221023,922.7
20221024,69.2
20221025,234.6
20221026,198.5
20221027,282.5
20221028,261.3
20221029,1082.3
20221030,1312.4
20221031,177.2
20221101,302.4
20221102,278.9
20221103,295.2
20221104,217.9
20221105,1565.1
20221106,1629.7
20221107,194.4
20221108,345.8
