기준연월,방문비율
20220811,115.0
20220812,121.3
20220813,157.5
20220814,187.7
20220815,118.6
20220816,82.1
20220817,102.6
20220818,92.4
20220819,95.7
20220820,120.8
20220821,85.5
20220822,46.2
20220823,26.7
20220824,51.3
20220825,47.5
20220826,57.3
20220827,99.5
20220828,67.0
20220829,34.8
20220830,36.6
20220831,56.6
20220901,22.6
20220902,30.9
20220903,58.1
20220904,31.9
20220905,9.0
20220906,3.4
20220907,13.3
20220908,16.1
20220909,56.6
20220910,82.6
20220911,57.2
20220912,55.4
20220913,9.9
20220914,26.9
20220915,23.6
20220916,29.8
20220917,47.4
20220918,31.9
20220919,16.2
20220920,15.5
20220921,23.9
20220922,19.4
20220923,30.6
20220924,47.0
20220925,26.6
20220926,19.2
20220927,13.3
20220928,26.2
20220929,19.9
20220930,20.1
20221001,50.3
20221002,37.2
20221003,35.1
20221004,1.9
20221005,13.5
20221006,16.7
20221007,20.7
20221008,69.4
20221009,56.5
20221010,64.2
20221011,15.1
20221012,27.2
20221013,22.3
20221014,28.8
20221015,57.3
20221016,33.8
20221017,11.8
20221018,14.0
20221019,25.7
20221020,23.0
20221021,24.6
20221022,51.5
20221023,31.8
20221024,15.4
20221025,16.0
20221026,27.8
20221027,19.1
20221028,25.5
20221029,56.9
20221030,37.2
20221031,11.0
20221101,0.1
20221102,4.3
20221103,10.2
20221104,18.3
20221105,48.4
20221106,32.8
20221107,5.9
20221108,1.3
