광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,춘천시,30.7,61.5
강원도,철원군,30.7,20.5
강원도,원주시,30.7,6.9
강원도,횡성군,30.7,0.8
강원도,양구군,30.7,1.3
강원도,강릉시,30.7,1.1
강원도,정선군,30.7,0.2
강원도,평창군,30.7,0.4
강원도,동해시,30.7,0.7
강원도,인제군,30.7,0.8
강원도,홍천군,30.7,2.4
강원도,태백시,30.7,0.1
강원도,속초시,30.7,0.6
강원도,양양군,30.7,0.9
강원도,고성군,30.7,0.2
강원도,삼척시,30.7,0.3
강원도,영월군,30.7,0.2
강원도,화천군,30.7,1.2
경기도,포천시,35.3,16.9
경기도,남양주시,35.3,10.9
경기도,의정부시,35.3,9.9
경기도,부천시,35.3,4.4
경기도,양주시,35.3,5.3
경기도,구리시,35.3,3.0
경기도,파주시,35.3,4.8
경기도,김포시,35.3,2.8
경기도,고양시 덕양구,35.3,3.4
경기도,가평군,35.3,2.5
경기도,연천군,35.3,3.0
경기도,화성시,35.3,2.3
경기도,고양시 일산서구,35.3,1.8
경기도,고양시 일산동구,35.3,2.7
경기도,성남시 분당구,35.3,1.6
경기도,용인시 처인구,35.3,1.4
경기도,평택시,35.3,1.6
경기도,하남시,35.3,2.1
경기도,광주시,35.3,2.7
경기도,용인시 수지구,35.3,0.6
경기도,광명시,35.3,0.8
경기도,동두천시,35.3,2.2
경기도,군포시,35.3,0.5
경기도,성남시 수정구,35.3,1.1
경기도,안산시 상록구,35.3,0.8
경기도,수원시 영통구,35.3,0.8
경기도,수원시 장안구,35.3,0.7
경기도,시흥시,35.3,1.2
경기도,안산시 단원구,35.3,0.8
경기도,수원시 권선구,35.3,1.1
경기도,오산시,35.3,0.3
경기도,성남시 중원구,35.3,0.6
경기도,용인시 기흥구,35.3,0.9
경기도,안양시 동안구,35.3,0.7
경기도,이천시,35.3,1.1
경기도,양평군,35.3,1.0
경기도,의왕시,35.3,0.3
경기도,여주시,35.3,0.4
경기도,수원시 팔달구,35.3,0.3
경기도,안성시,35.3,0.5
경기도,과천시,35.3,0.1
경기도,안양시 만안구,35.3,0.4
경상남도,밀양시,1.1,4.6
경상남도,고성군,1.1,0.5
경상남도,창원시 성산구,1.1,0.5
경상남도,진주시,1.1,4.7
경상남도,창원시 의창구,1.1,16.8
경상남도,김해시,1.1,31.5
경상남도,거제시,1.1,15.4
경상남도,창녕군,1.1,2.0
경상남도,거창군,1.1,1.5
경상남도,하동군,1.1,1.5
경상남도,함양군,1.1,0.5
경상남도,창원시 진해구,1.1,1.0
경상남도,산청군,1.1,1.0
경상남도,양산시,1.1,2.5
경상남도,사천시,1.1,0.5
경상남도,창원시 마산회원구,1.1,3.0
경상남도,창원시 마산합포구,1.1,10.7
경상남도,의령군,1.1,1.0
경상남도,통영시,1.1,0.6
경상북도,구미시,1.1,39.3
경상북도,청송군,1.1,3.5
경상북도,김천시,1.1,3.0
경상북도,울진군,1.1,3.8
경상북도,경주시,1.1,4.9
경상북도,경산시,1.1,3.4
경상북도,예천군,1.1,15.7
경상북도,영주시,1.1,3.5
경상북도,포항시 남구,1.1,2.4
경상북도,포항시 북구,1.1,1.4
경상북도,칠곡군,1.1,2.4
경상북도,영양군,1.1,1.0
경상북도,안동시,1.1,7.9
경상북도,의성군,1.1,0.5
경상북도,영덕군,1.1,1.4
경상북도,울릉군,1.1,0.5
경상북도,고령군,1.1,1.0
경상북도,성주군,1.1,0.5
경상북도,영천시,1.1,1.0
경상북도,군위군,1.1,1.0
경상북도,청도군,1.1,0.5
