기준연월,방문비율
20220811,60.7
20220812,63.8
20220813,103.6
20220814,114.5
20220815,95.3
20220816,67.7
20220817,68.4
20220818,70.3
20220819,70.5
20220820,104.0
20220821,104.4
20220822,64.3
20220823,58.3
20220824,61.2
20220825,73.2
20220826,76.0
20220827,110.8
20220828,109.1
20220829,64.6
20220830,60.7
20220831,62.9
20220901,67.9
20220902,76.6
20220903,119.4
20220904,124.9
20220905,59.8
20220906,63.4
20220907,60.8
20220908,67.0
20220909,121.4
20220910,120.9
20220911,120.4
20220912,99.7
20220913,62.5
20220914,65.5
20220915,69.8
20220916,76.6
20220917,119.0
20220918,121.5
20220919,64.6
20220920,63.1
20220921,65.7
20220922,70.2
20220923,74.0
20220924,125.3
20220925,130.2
20220926,63.6
20220927,59.8
20220928,59.7
20220929,70.3
20220930,77.0
20221001,117.7
20221002,122.6
20221003,97.1
20221004,65.4
20221005,71.1
20221006,71.0
20221007,77.9
20221008,126.9
20221009,130.3
20221010,98.1
20221011,66.7
20221012,65.8
20221013,70.2
20221014,78.8
20221015,122.7
20221016,111.9
20221017,65.7
20221018,62.4
20221019,64.5
20221020,73.9
20221021,79.9
20221022,124.3
20221023,127.4
20221024,64.3
20221025,62.8
20221026,63.7
20221027,70.1
20221028,74.8
20221029,121.1
20221030,123.2
20221031,69.5
20221101,72.9
20221102,72.0
20221103,73.0
20221104,73.3
20221105,109.4
20221106,113.7
20221107,56.6
20221108,65.2
