기준연월,방문비율
20220817,111.0
20220818,114.5
20220819,116.1
20220820,119.2
20220821,115.3
20220822,111.3
20220823,106.1
20220824,115.8
20220825,113.8
20220826,122.7
20220827,133.8
20220828,109.3
20220829,114.1
20220830,111.4
20220831,117.8
20220901,101.0
20220902,113.9
20220903,133.3
20220904,115.3
20220905,105.4
20220906,98.7
20220907,101.7
20220908,99.4
20220909,122.9
20220910,134.1
20220911,120.8
20220912,118.4
20220913,108.1
20220914,115.8
20220915,112.7
20220916,125.0
20220917,140.9
20220918,125.9
20220919,118.4
20220920,118.4
20220921,120.2
20220922,118.7
20220923,129.2
20220924,142.4
20220925,129.3
20220926,122.3
20220927,115.5
20220928,116.9
20220929,122.7
20220930,124.0
20221001,122.7
20221002,112.4
20221003,110.3
20221004,102.8
20221005,103.2
20221006,101.1
20221007,110.6
20221008,132.2
20221009,116.3
20221010,116.5
20221011,103.9
20221012,105.0
20221013,108.1
20221014,119.3
20221015,132.9
20221016,119.0
20221017,115.8
20221018,112.0
20221019,111.9
20221020,120.9
20221021,121.5
20221022,140.1
20221023,125.3
20221024,123.5
20221025,117.6
20221026,121.9
20221027,118.2
20221028,122.6
20221029,142.3
20221030,123.3
20221031,124.2
20221101,98.2
20221102,108.0
20221103,106.9
20221104,111.7
20221105,135.2
20221106,115.6
20221107,104.1
20221108,102.7
20221109,104.8
20221110,106.8
20221111,115.3
20221112,136.1
20221113,112.9
20221114,117.4
