기준연월,방문비율
20220811,58.9
20220812,74.1
20220813,135.5
20220814,150.2
20220815,137.2
20220816,78.3
20220817,71.3
20220818,75.1
20220819,86.9
20220820,132.3
20220821,130.2
20220822,83.7
20220823,81.5
20220824,71.9
20220825,81.5
20220826,95.0
20220827,148.7
20220828,151.5
20220829,89.8
20220830,80.9
20220831,80.2
20220901,98.4
20220902,103.1
20220903,164.1
20220904,168.8
20220905,76.4
20220906,88.3
20220907,71.7
20220908,81.7
20220909,181.2
20220910,201.5
20220911,195.9
20220912,178.2
20220913,95.8
20220914,92.0
20220915,100.5
20220916,108.8
20220917,173.9
20220918,176.7
20220919,94.5
20220920,98.0
20220921,81.5
20220922,99.7
20220923,107.6
20220924,169.2
20220925,182.7
20220926,109.0
20220927,105.2
20220928,102.9
20220929,110.8
20220930,118.2
20221001,171.4
20221002,167.1
20221003,143.4
20221004,86.4
20221005,73.2
20221006,91.5
20221007,97.7
20221008,169.0
20221009,192.1
20221010,162.4
20221011,86.2
20221012,82.8
20221013,97.1
20221014,109.3
20221015,172.9
20221016,165.4
20221017,89.0
20221018,94.8
20221019,86.9
20221020,96.9
20221021,99.9
20221022,156.6
20221023,165.4
20221024,98.8
20221025,104.8
20221026,106.9
20221027,116.1
20221028,120.1
20221029,175.2
20221030,175.4
20221031,103.3
20221101,96.7
20221102,80.5
20221103,87.9
20221104,102.6
20221105,177.1
20221106,170.1
20221107,79.0
20221108,86.2
