기준연월,방문비율
20220811,48.5
20220812,50.2
20220813,87.8
20220814,97.7
20220815,73.0
20220816,44.9
20220817,44.1
20220818,43.8
20220819,46.2
20220820,74.4
20220821,79.4
20220822,39.4
20220823,44.5
20220824,44.2
20220825,44.1
20220826,45.9
20220827,86.0
20220828,80.7
20220829,39.6
20220830,45.2
20220831,49.4
20220901,46.2
20220902,51.7
20220903,90.5
20220904,97.5
20220905,42.5
20220906,47.5
20220907,47.0
20220908,46.5
20220909,90.8
20220910,94.3
20220911,97.2
20220912,78.5
20220913,44.5
20220914,43.6
20220915,43.3
20220916,45.9
20220917,87.6
20220918,88.9
20220919,39.5
20220920,44.5
20220921,44.0
20220922,43.7
20220923,46.4
20220924,87.3
20220925,88.7
20220926,39.7
20220927,44.7
20220928,44.2
20220929,43.8
20220930,45.9
20221001,72.6
20221002,70.4
20221003,64.7
20221004,41.4
20221005,41.4
20221006,41.3
20221007,44.6
20221008,71.6
20221009,70.8
20221010,64.8
20221011,43.1
20221012,42.8
20221013,39.1
20221014,41.4
20221015,72.1
20221016,65.0
20221017,35.2
20221018,39.2
20221019,39.0
20221020,38.3
20221021,41.4
20221022,70.4
20221023,65.1
20221024,34.8
20221025,39.0
20221026,38.7
20221027,38.5
20221028,40.9
20221029,70.5
20221030,66.1
20221031,40.2
20221101,32.9
20221102,33.1
20221103,32.1
20221104,35.4
20221105,75.2
20221106,71.8
20221107,26.3
20221108,33.2
