기준연월,방문비율
20220811,81.4
20220812,87.4
20220813,111.4
20220814,117.4
20220815,107.8
20220816,83.6
20220817,91.1
20220818,89.3
20220819,94.5
20220820,119.7
20220821,103.7
20220822,81.9
20220823,80.7
20220824,88.0
20220825,89.6
20220826,91.6
20220827,123.3
20220828,121.7
20220829,82.4
20220830,81.7
20220831,86.9
20220901,94.7
20220902,99.7
20220903,194.7
20220904,193.6
20220905,94.2
20220906,100.8
20220907,99.0
20220908,104.4
20220909,207.5
20220910,177.6
20220911,174.7
20220912,186.5
20220913,115.8
20220914,115.2
20220915,118.9
20220916,117.5
20220917,211.7
20220918,205.0
20220919,125.0
20220920,134.2
20220921,125.6
20220922,118.0
20220923,115.9
20220924,201.7
20220925,195.3
20220926,112.3
20220927,118.3
20220928,114.8
20220929,114.4
20220930,111.5
20221001,290.2
20221002,185.2
20221003,156.0
20221004,93.8
20221005,98.4
20221006,101.6
20221007,100.5
20221008,279.3
20221009,180.2
20221010,161.3
20221011,103.9
20221012,105.8
20221013,109.3
20221014,110.1
20221015,288.3
20221016,213.3
20221017,94.9
20221018,107.3
20221019,111.6
20221020,111.8
20221021,111.0
20221022,268.0
20221023,205.3
20221024,98.3
20221025,109.8
20221026,114.7
20221027,116.7
20221028,109.4
20221029,215.9
20221030,166.8
20221031,97.2
20221101,94.9
20221102,93.6
20221103,96.7
20221104,98.4
20221105,142.2
20221106,122.7
20221107,90.8
20221108,95.1
