기준연월,방문비율
20220811,87.1
20220812,102.1
20220813,218.1
20220814,231.8
20220815,191.7
20220816,103.5
20220817,103.0
20220818,103.0
20220819,115.2
20220820,212.4
20220821,206.3
20220822,95.2
20220823,96.7
20220824,96.9
20220825,105.1
20220826,114.3
20220827,235.2
20220828,227.0
20220829,95.8
20220830,97.2
20220831,102.8
20220901,103.8
20220902,140.6
20220903,239.5
20220904,233.9
20220905,86.8
20220906,83.0
20220907,80.2
20220908,94.6
20220909,208.6
20220910,226.7
20220911,219.5
20220912,169.3
20220913,94.7
20220914,96.8
20220915,115.2
20220916,128.3
20220917,240.8
20220918,241.8
20220919,91.4
20220920,107.2
20220921,104.8
20220922,117.4
20220923,129.4
20220924,234.9
20220925,250.9
20220926,91.2
20220927,111.9
20220928,119.7
20220929,123.1
20220930,131.3
20221001,225.4
20221002,232.8
20221003,192.8
20221004,96.5
20221005,97.2
20221006,104.6
20221007,110.3
20221008,226.8
20221009,242.3
20221010,181.1
20221011,95.6
20221012,89.3
20221013,102.9
20221014,114.9
20221015,235.2
20221016,209.8
20221017,86.0
20221018,106.0
20221019,103.1
20221020,116.2
20221021,121.7
20221022,224.8
20221023,232.1
20221024,94.5
20221025,124.6
20221026,126.5
20221027,139.6
20221028,152.8
20221029,267.7
20221030,260.2
20221031,108.7
20221101,111.1
20221102,118.1
20221103,136.0
20221104,135.3
20221105,243.0
20221106,240.1
20221107,100.8
20221108,108.8
