기준연월,방문비율
20220811,95.0
20220812,114.4
20220813,210.6
20220814,186.8
20220815,160.7
20220816,147.8
20220817,100.4
20220818,110.7
20220819,126.2
20220820,216.3
20220821,190.3
20220822,94.9
20220823,97.8
20220824,86.7
20220825,114.0
20220826,123.7
20220827,247.6
20220828,199.7
20220829,89.7
20220830,100.4
20220831,67.2
20220901,127.3
20220902,133.5
20220903,231.6
20220904,235.2
20220905,82.1
20220906,82.5
20220907,60.5
20220908,109.9
20220909,236.3
20220910,250.3
20220911,247.4
20220912,182.2
20220913,82.4
20220914,89.5
20220915,137.7
20220916,147.7
20220917,266.6
20220918,225.9
20220919,88.9
20220920,94.7
20220921,89.4
20220922,111.4
20220923,138.9
20220924,267.6
20220925,252.5
20220926,101.1
20220927,106.3
20220928,108.4
20220929,116.6
20220930,141.3
20221001,226.4
20221002,195.4
20221003,141.0
20221004,53.1
20221005,52.9
20221006,75.0
20221007,86.4
20221008,217.4
20221009,230.7
20221010,170.0
20221011,74.2
20221012,67.5
20221013,88.4
20221014,122.0
20221015,260.5
20221016,222.5
20221017,82.1
20221018,82.9
20221019,74.9
20221020,90.9
20221021,116.0
20221022,262.4
20221023,247.8
20221024,142.7
20221025,149.6
20221026,132.7
20221027,131.7
20221028,173.8
20221029,318.6
20221030,314.8
20221031,182.5
20221101,135.7
20221102,130.3
20221103,142.5
20221104,173.9
20221105,379.0
20221106,350.8
20221107,114.0
20221108,117.9
