기준연월,방문비율
20220811,106.3
20220812,109.3
20220813,166.5
20220814,142.9
20220815,144.0
20220816,98.9
20220817,100.1
20220818,100.3
20220819,102.6
20220820,161.3
20220821,151.1
20220822,93.0
20220823,92.3
20220824,103.6
20220825,110.4
20220826,119.4
20220827,149.9
20220828,144.8
20220829,93.9
20220830,113.6
20220831,116.8
20220901,90.1
20220902,90.9
20220903,140.3
20220904,138.6
20220905,85.4
20220906,85.7
20220907,92.3
20220908,91.9
20220909,136.0
20220910,141.0
20220911,149.7
20220912,137.5
20220913,102.6
20220914,105.8
20220915,105.9
20220916,103.8
20220917,144.8
20220918,165.8
20220919,95.1
20220920,98.2
20220921,99.7
20220922,97.6
20220923,100.4
20220924,145.6
20220925,145.6
20220926,106.7
20220927,118.3
20220928,122.6
20220929,122.5
20220930,122.6
20221001,127.8
20221002,128.2
20221003,128.7
20221004,81.4
20221005,89.2
20221006,90.1
20221007,89.4
20221008,136.1
20221009,146.8
20221010,135.2
20221011,106.1
20221012,113.2
20221013,110.0
20221014,106.3
20221015,152.0
20221016,142.1
20221017,92.9
20221018,100.1
20221019,107.1
20221020,103.6
20221021,103.0
20221022,166.4
20221023,172.4
20221024,98.8
20221025,110.0
20221026,121.6
20221027,120.8
20221028,121.4
20221029,162.7
20221030,166.7
20221031,107.3
20221101,84.1
20221102,90.8
20221103,84.7
20221104,84.8
20221105,182.6
20221106,179.6
20221107,77.8
20221108,74.8
