기준연월,방문비율
20220811,117.0
20220812,121.1
20220813,126.8
20220814,99.1
20220815,94.6
20220816,111.7
20220817,120.7
20220818,102.7
20220819,114.5
20220820,120.6
20220821,110.4
20220822,107.2
20220823,111.1
20220824,120.8
20220825,106.5
20220826,117.1
20220827,130.5
20220828,109.8
20220829,115.0
20220830,110.3
20220831,119.1
20220901,132.4
20220902,135.4
20220903,141.1
20220904,165.8
20220905,128.3
20220906,111.8
20220907,115.1
20220908,124.8
20220909,155.9
20220910,172.3
20220911,177.9
20220912,184.8
20220913,164.9
20220914,167.7
20220915,156.1
20220916,159.6
20220917,155.2
20220918,156.6
20220919,173.4
20220920,169.0
20220921,161.5
20220922,146.4
20220923,153.2
20220924,158.8
20220925,157.2
20220926,166.5
20220927,154.0
20220928,164.4
20220929,151.0
20220930,165.1
20221001,129.2
20221002,149.8
20221003,129.9
20221004,113.6
20221005,96.5
20221006,110.1
20221007,112.7
20221008,122.4
20221009,136.9
20221010,152.4
20221011,137.7
20221012,153.0
20221013,136.7
20221014,142.2
20221015,140.5
20221016,136.7
20221017,151.8
20221018,146.4
20221019,156.0
20221020,137.2
20221021,143.9
20221022,144.8
20221023,144.8
20221024,176.1
20221025,138.2
20221026,153.7
20221027,142.0
20221028,157.8
20221029,159.9
20221030,152.9
20221031,172.0
20221101,102.4
20221102,96.2
20221103,110.2
20221104,115.6
20221105,112.2
20221106,130.2
20221107,99.6
20221108,92.1
