기준연월,방문비율
20220811,95.6
20220812,104.3
20220813,141.3
20220814,95.4
20220815,117.2
20220816,99.0
20220817,100.3
20220818,110.3
20220819,115.1
20220820,143.5
20220821,132.4
20220822,100.6
20220823,105.1
20220824,105.7
20220825,113.3
20220826,119.9
20220827,150.9
20220828,135.2
20220829,108.4
20220830,110.1
20220831,107.9
20220901,113.2
20220902,117.5
20220903,145.9
20220904,126.2
20220905,96.6
20220906,95.1
20220907,86.2
20220908,108.7
20220909,144.8
20220910,147.5
20220911,123.4
20220912,118.2
20220913,94.6
20220914,98.5
20220915,112.9
20220916,116.1
20220917,148.1
20220918,133.0
20220919,98.5
20220920,103.9
20220921,100.8
20220922,114.4
20220923,118.8
20220924,152.1
20220925,135.7
20220926,107.6
20220927,110.5
20220928,107.9
20220929,117.8
20220930,122.2
20221001,146.2
20221002,126.9
20221003,125.5
20221004,98.5
20221005,93.8
20221006,113.6
20221007,116.0
20221008,146.0
20221009,126.2
20221010,119.4
20221011,94.7
20221012,91.2
20221013,107.6
20221014,116.2
20221015,148.9
20221016,129.7
20221017,93.8
20221018,101.0
20221019,100.5
20221020,113.3
20221021,117.5
20221022,151.9
20221023,134.8
20221024,100.0
20221025,107.2
20221026,106.7
20221027,117.3
20221028,122.0
20221029,152.1
20221030,137.0
20221031,109.0
20221101,98.7
20221102,94.8
20221103,113.7
20221104,117.7
20221105,149.2
20221106,127.0
20221107,96.9
20221108,92.8
