기준연월,방문비율
20220811,88.5
20220812,91.2
20220813,107.3
20220814,92.4
20220815,102.1
20220816,84.6
20220817,92.5
20220818,91.9
20220819,96.4
20220820,114.7
20220821,104.4
20220822,87.7
20220823,89.8
20220824,98.1
20220825,95.8
20220826,97.5
20220827,116.4
20220828,107.7
20220829,90.9
20220830,89.8
20220831,93.7
20220901,79.4
20220902,84.2
20220903,102.6
20220904,100.5
20220905,66.8
20220906,76.9
20220907,77.3
20220908,80.0
20220909,129.3
20220910,130.4
20220911,130.7
20220912,129.0
20220913,89.4
20220914,92.2
20220915,92.2
20220916,97.7
20220917,116.1
20220918,110.8
20220919,86.6
20220920,95.9
20220921,99.5
20220922,94.9
20220923,102.7
20220924,126.3
20220925,117.5
20220926,95.0
20220927,97.2
20220928,99.6
20220929,98.9
20220930,102.4
20221001,93.7
20221002,98.1
20221003,116.1
20221004,74.3
20221005,76.5
20221006,76.8
20221007,84.9
20221008,106.0
20221009,123.2
20221010,121.9
20221011,83.4
20221012,85.6
20221013,85.9
20221014,91.6
20221015,104.7
20221016,99.8
20221017,77.1
20221018,81.3
20221019,82.7
20221020,80.6
20221021,88.1
20221022,102.6
20221023,95.1
20221024,84.3
20221025,83.8
20221026,86.7
20221027,87.1
20221028,91.9
20221029,106.9
20221030,101.6
20221031,88.0
20221101,71.9
20221102,72.2
20221103,71.6
20221104,81.9
20221105,97.2
20221106,87.4
20221107,64.2
20221108,68.8
