광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,0.9,24.0
강원도,강릉시,0.9,16.3
강원도,춘천시,0.9,16.2
강원도,인제군,0.9,3.5
강원도,홍천군,0.9,3.6
강원도,정선군,0.9,2.5
강원도,화천군,0.9,2.3
강원도,속초시,0.9,4.7
강원도,영월군,0.9,3.2
강원도,양양군,0.9,2.2
강원도,고성군,0.9,1.9
강원도,평창군,0.9,3.9
강원도,횡성군,0.9,2.1
강원도,동해시,0.9,4.9
강원도,삼척시,0.9,4.5
강원도,철원군,0.9,2.1
강원도,양구군,0.9,0.5
강원도,태백시,0.9,1.6
경기도,안산시 단원구,49.1,24.5
경기도,부천시,49.1,10.9
경기도,안산시 상록구,49.1,10.5
경기도,화성시,49.1,6.2
경기도,광명시,49.1,3.3
경기도,안양시 만안구,49.1,2.7
경기도,안양시 동안구,49.1,2.8
경기도,군포시,49.1,3.2
경기도,김포시,49.1,2.6
경기도,수원시 권선구,49.1,2.3
경기도,광주시,49.1,1.8
경기도,용인시 기흥구,49.1,1.7
경기도,성남시 분당구,49.1,1.6
경기도,의왕시,49.1,1.5
경기도,수원시 장안구,49.1,1.5
경기도,남양주시,49.1,1.6
경기도,평택시,49.1,1.9
경기도,고양시 덕양구,49.1,1.2
경기도,수원시 영통구,49.1,1.3
경기도,오산시,49.1,1.1
경기도,파주시,49.1,1.3
경기도,용인시 처인구,49.1,1.5
경기도,용인시 수지구,49.1,1.0
경기도,수원시 팔달구,49.1,1.0
경기도,의정부시,49.1,1.1
경기도,고양시 일산동구,49.1,0.9
경기도,성남시 수정구,49.1,0.9
경기도,고양시 일산서구,49.1,0.9
경기도,하남시,49.1,0.9
경기도,성남시 중원구,49.1,0.8
경기도,이천시,49.1,0.9
경기도,양주시,49.1,0.7
경기도,안성시,49.1,0.8
경기도,구리시,49.1,0.5
경기도,과천시,49.1,0.4
경기도,여주시,49.1,0.3
경기도,포천시,49.1,0.4
경기도,양평군,49.1,0.2
경기도,연천군,49.1,0.1
경기도,동두천시,49.1,0.2
경기도,가평군,49.1,0.1
경기도,시흥시,49.1,0.7
경상남도,김해시,0.8,16.1
경상남도,거제시,0.8,11.4
경상남도,양산시,0.8,15.9
경상남도,진주시,0.8,7.5
경상남도,창원시 의창구,0.8,6.1
경상남도,창원시 성산구,0.8,6.2
경상남도,함안군,0.8,2.7
경상남도,창원시 진해구,0.8,8.0
경상남도,창원시 마산합포구,0.8,3.9
경상남도,창원시 마산회원구,0.8,2.3
경상남도,창녕군,0.8,3.3
경상남도,통영시,0.8,4.3
경상남도,사천시,0.8,3.5
경상남도,함양군,0.8,0.7
경상남도,거창군,0.8,1.1
경상남도,고성군,0.8,0.4
경상남도,남해군,0.8,2.2
경상남도,밀양시,0.8,2.0
경상남도,의령군,0.8,0.5
경상남도,합천군,0.8,1.1
경상남도,하동군,0.8,0.6
경상남도,산청군,0.8,0.2
경상북도,김천시,0.9,7.9
경상북도,구미시,0.9,14.7
경상북도,영주시,0.9,6.7
경상북도,경주시,0.9,9.3
경상북도,포항시 남구,0.9,10.7
경상북도,안동시,0.9,5.0
경상북도,경산시,0.9,8.4
경상북도,포항시 북구,0.9,6.7
경상북도,칠곡군,0.9,5.5
경상북도,상주시,0.9,5.0
경상북도,문경시,0.9,3.3
경상북도,울진군,0.9,1.9
경상북도,성주군,0.9,1.5
경상북도,영덕군,0.9,1.8
경상북도,예천군,0.9,1.8
경상북도,청도군,0.9,0.9
경상북도,영양군,0.9,1.1
경상북도,영천시,0.9,1.6
경상북도,봉화군,0.9,1.6
경상북도,청송군,0.9,0.5
경상북도,고령군,0.9,0.3
경상북도,의성군,0.9,1.5
경상북도,군위군,0.9,1.8
경상북도,울릉군,0.9,0.4
광주광역시,광산구,0.4,42.7
광주광역시,북구,0.4,24.6
광주광역시,서구,0.4,15.8
광주광역시,남구,0.4,12.9
광주광역시,동구,0.4,4.0
대구광역시,북구,0.6,23.0
대구광역시,달서구,0.6,23.5
대구광역시,달성군,0.6,18.1
대구광역시,동구,0.6,13.1
대구광역시,수성구,0.6,10.5
대구광역시,남구,0.6,3.9
대구광역시,서구,0.6,5.7
대구광역시,중구,0.6,2.2
대전광역시,유성구,0.6,33.1
대전광역시,대덕구,0.6,16.8
대전광역시,서구,0.6,25.1
대전광역시,동구,0.6,13.5
대전광역시,중구,0.6,11.5
부산광역시,부산진구,0.6,9.3
부산광역시,해운대구,0.6,12.1
부산광역시,강서구,0.6,9.1
부산광역시,사하구,0.6,11.0
부산광역시,연제구,0.6,8.5
부산광역시,기장군,0.6,6.2
부산광역시,금정구,0.6,7.0
부산광역시,동래구,0.6,6.5
부산광역시,북구,0.6,6.9
부산광역시,수영구,0.6,5.8
부산광역시,남구,0.6,6.2
부산광역시,사상구,0.6,3.4
부산광역시,서구,0.6,2.7
부산광역시,동구,0.6,2.0
부산광역시,중구,0.6,0.8
부산광역시,영도구,0.6,2.3
서울특별시,관악구,15.6,9.6
서울특별시,구로구,15.6,11.7
서울특별시,금천구,15.6,6.8
서울특별시,강서구,15.6,7.4
서울특별시,양천구,15.6,5.4
서울특별시,동작구,15.6,4.8
서울특별시,영등포구,15.6,5.6
서울특별시,송파구,15.6,4.8
서울특별시,강남구,15.6,4.4
서울특별시,서초구,15.6,3.5
서울특별시,은평구,15.6,3.3
서울특별시,노원구,15.6,3.5
서울특별시,성북구,15.6,3.1
서울특별시,강동구,15.6,3.3
서울특별시,마포구,15.6,3.0
서울특별시,동대문구,15.6,2.2
서울특별시,서대문구,15.6,2.5
서울특별시,성동구,15.6,2.2
서울특별시,중랑구,15.6,2.5
서울특별시,광진구,15.6,2.6
서울특별시,용산구,15.6,1.9
서울특별시,강북구,15.6,1.9
서울특별시,도봉구,15.6,1.8
서울특별시,종로구,15.6,1.0
서울특별시,중구,15.6,1.0
세종특별자치시,세종특별자치시,0.2,100.0
울산광역시,남구,0.2,32.2
울산광역시,중구,0.2,20.9
울산광역시,울주군,0.2,22.5
울산광역시,동구,0.2,9.8
울산광역시,북구,0.2,14.7
인천광역시,남동구,24.6,28.4
인천광역시,연수구,24.6,24.3
인천광역시,부평구,24.6,10.6
인천광역시,미추홀구,24.6,11.5
인천광역시,서구,24.6,10.4
인천광역시,계양구,24.6,5.2
인천광역시,옹진군,24.6,4.8
인천광역시,중구,24.6,3.3
인천광역시,동구,24.6,1.0
인천광역시,강화군,24.6,0.6
전라남도,나주시,0.7,7.0
전라남도,목포시,0.7,15.7
전라남도,여수시,0.7,20.4
전라남도,순천시,0.7,12.6
전라남도,고흥군,0.7,2.6
전라남도,광양시,0.7,6.6
전라남도,무안군,0.7,3.5
전라남도,장성군,0.7,3.7
전라남도,해남군,0.7,2.7
전라남도,곡성군,0.7,3.1
전라남도,보성군,0.7,1.7
전라남도,화순군,0.7,2.0
전라남도,신안군,0.7,2.2
전라남도,영암군,0.7,2.6
전라남도,구례군,0.7,0.7
전라남도,영광군,0.7,2.2
전라남도,완도군,0.7,3.0
전라남도,진도군,0.7,1.1
전라남도,담양군,0.7,2.5
전라남도,장흥군,0.7,1.4
전라남도,함평군,0.7,1.6
전라남도,강진군,0.7,1.2
전라북도,군산시,0.8,25.4
전라북도,익산시,0.8,22.0
전라북도,전주시 덕진구,0.8,17.1
전라북도,정읍시,0.8,4.9
전라북도,전주시 완산구,0.8,13.9
전라북도,완주군,0.8,5.9
전라북도,김제시,0.8,2.8
전라북도,남원시,0.8,1.9
전라북도,무주군,0.8,0.8
전라북도,고창군,0.8,1.4
전라북도,부안군,0.8,1.8
전라북도,임실군,0.8,0.1
전라북도,순창군,0.8,1.2
전라북도,진안군,0.8,0.5
전라북도,장수군,0.8,0.3
제주특별자치도,제주시,0.3,64.5
제주특별자치도,서귀포시,0.3,35.5
충청남도,아산시,2.4,17.9
충청남도,당진시,2.4,20.6
충청남도,천안시 동남구,2.4,11.0
충청남도,천안시 서북구,2.4,15.6
충청남도,서산시,2.4,6.9
충청남도,보령시,2.4,4.1
충청남도,논산시,2.4,5.5
충청남도,청양군,2.4,1.8
충청남도,예산군,2.4,3.8
충청남도,태안군,2.4,2.9
충청남도,공주시,2.4,2.1
충청남도,홍성군,2.4,3.0
충청남도,부여군,2.4,2.0
충청남도,서천군,2.4,1.2
충청남도,금산군,2.4,1.1
충청남도,계룡시,2.4,0.5
충청북도,음성군,1.4,16.6
충청북도,충주시,1.4,17.6
충청북도,청주시 흥덕구,1.4,13.4
충청북도,청주시 청원구,1.4,10.5
충청북도,진천군,1.4,9.4
충청북도,청주시 서원구,1.4,7.8
충청북도,청주시 상당구,1.4,6.8
충청북도,단양군,1.4,1.5
충청북도,제천시,1.4,6.2
충청북도,옥천군,1.4,2.6
충청북도,증평군,1.4,2.6
충청북도,괴산군,1.4,1.9
충청북도,보은군,1.4,1.4
충청북도,영동군,1.4,1.7
