순위,관광지명,주소,분류,
1,안양예술공원,경기 안양시 만안구 예술공원로 195-1,자연관광지,경기도 안양시 만안구
2,안양중앙시장,경기 안양시 만안구 냉천로 196-0,쇼핑,경기도 안양시 만안구
3,엔터식스/안양역점,경기 안양시 만안구 만안로 244-0,쇼핑,경기도 안양시 만안구
4,2001아울렛/안양점,경기 안양시 만안구 안양로 275-0,쇼핑,경기도 안양시 만안구
5,박달시장,경기 안양시 만안구 박달우회로124번길 41-0,쇼핑,경기도 안양시 만안구
6,삼덕공원,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
7,병목안시민공원,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
8,석수체육공원,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
9,안양1번가,경기 안양시 만안구,휴양관광지,경기도 안양시 만안구
10,안양시립석수도서관,경기 안양시 만안구 양화로217번길 34-0,문화시설,경기도 안양시 만안구
11,삼덕공원,경기 안양시 만안구 삼덕로 106-0,자연관광지,경기도 안양시 만안구
12,망해암,경기 안양시 만안구 임곡로 245-0,역사관광지,경기도 안양시 만안구
13,안양남부시장,경기 안양시 만안구 안양로248번길 22-0,쇼핑,경기도 안양시 만안구
14,삼막사,경기 안양시 만안구 삼막로 478-0,역사관광지,경기도 안양시 만안구
15,석수시장,경기 안양시 만안구 석천로171번길 20-0,쇼핑,경기도 안양시 만안구
16,코리아골프클럽,경기 안양시 만안구 박달로 380-0,레포츠(육상/해상/항공),경기도 안양시 만안구
17,수암봉,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
18,안양월드,경기 안양시 만안구 안양로329번길 108-0,쇼핑,경기도 안양시 만안구
19,롯데슈퍼/안양점,경기 안양시 만안구 안양로329번길 108-0,쇼핑,경기도 안양시 만안구
20,다이소/안양덕천점,경기 안양시 만안구 안양천서로 229-0,쇼핑,경기도 안양시 만안구
21,만안청소년수련관,경기 안양시 만안구 냉천로31번길 33-0,레포츠(육상/해상/항공),경기도 안양시 만안구
22,롯데시네마/안양일번가,경기 안양시 만안구 안양로 311-0,공연/행사,경기도 안양시 만안구
23,롯데하이마트/안양점,경기 안양시 만안구 안양로 244-0,쇼핑,경기도 안양시 만안구
24,안양시립만안도서관,경기 안양시 만안구 냉천로 51-0,문화시설,경기도 안양시 만안구
25,안양위너스골프클럽,경기 안양시 만안구 엘에스로 236-0,레포츠(육상/해상/항공),경기도 안양시 만안구
26,안양예술공원,경기 안양시 만안구 예술공원로 195-1,문화관광,경기도 안양시 만안구
27,안양새물공원,경기 안양시 만안구 석천로 1-0,자연관광지,경기도 안양시 만안구
28,CS스포츠,경기 안양시 만안구 예술공원로52번길 2-0,쇼핑,경기도 안양시 만안구
29,대동문고,경기 안양시 만안구 안양로 316-0,쇼핑,경기도 안양시 만안구
30,삼막사계곡,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
31,한마음선원/안양본원,경기 안양시 만안구 경수대로 1282-0,역사관광지,경기도 안양시 만안구
32,GS더프레시/안양메가트리아점,경기 안양시 만안구 태평로52번길 21-0,쇼핑,경기도 안양시 만안구
33,국군복지단/박달마트,경기 안양시 만안구 삼봉로 66-0,쇼핑,경기도 안양시 만안구
34,안양시립박달도서관,경기 안양시 만안구 박달로 459-0,문화시설,경기도 안양시 만안구
35,삼막애견공원,경기 안양시 만안구,자연관광지,경기도 안양시 만안구
36,롯데시네마/안양,경기 안양시 만안구 만안로 244-0,공연/행사,경기도 안양시 만안구
