기준연월,방문비율
20220811,68.5
20220812,78.1
20220813,131.6
20220814,122.3
20220815,118.4
20220816,74.6
20220817,70.3
20220818,75.4
20220819,79.5
20220820,126.8
20220821,113.0
20220822,67.4
20220823,67.8
20220824,71.6
20220825,75.5
20220826,78.2
20220827,126.2
20220828,113.5
20220829,68.5
20220830,73.2
20220831,71.8
20220901,70.6
20220902,73.7
20220903,116.5
20220904,107.6
20220905,55.3
20220906,62.6
20220907,56.7
20220908,69.5
20220909,110.9
20220910,118.9
20220911,114.0
20220912,114.2
20220913,63.9
20220914,64.0
20220915,72.9
20220916,76.8
20220917,117.6
20220918,110.3
20220919,64.2
20220920,65.5
20220921,63.6
20220922,68.3
20220923,74.1
20220924,118.1
20220925,109.7
20220926,64.7
20220927,68.7
20220928,68.6
20220929,77.4
20220930,84.5
20221001,102.3
20221002,94.7
20221003,91.0
20221004,55.3
20221005,57.7
20221006,64.6
20221007,69.6
20221008,109.6
20221009,100.8
20221010,97.5
20221011,57.3
20221012,56.7
20221013,65.1
20221014,70.1
20221015,110.6
20221016,101.6
20221017,56.8
20221018,56.9
20221019,58.9
20221020,66.0
20221021,69.9
20221022,107.4
20221023,99.4
20221024,61.5
20221025,66.2
20221026,66.9
20221027,73.8
20221028,77.6
20221029,118.2
20221030,111.7
20221031,65.7
20221101,61.4
20221102,59.2
20221103,66.1
20221104,71.9
20221105,111.7
20221106,106.8
20221107,55.0
20221108,59.8
