기준연월,방문비율
20220811,99.3
20220812,107.3
20220813,134.6
20220814,103.9
20220815,100.5
20220816,83.3
20220817,98.0
20220818,89.4
20220819,103.3
20220820,128.1
20220821,117.4
20220822,86.1
20220823,87.8
20220824,97.0
20220825,91.6
20220826,101.3
20220827,126.8
20220828,114.9
20220829,84.7
20220830,87.6
20220831,91.9
20220901,73.8
20220902,87.0
20220903,112.8
20220904,100.3
20220905,76.0
20220906,69.5
20220907,81.2
20220908,82.1
20220909,112.4
20220910,131.2
20220911,107.3
20220912,108.8
20220913,85.6
20220914,98.0
20220915,91.2
20220916,102.3
20220917,133.1
20220918,121.5
20220919,91.9
20220920,93.4
20220921,101.9
20220922,92.3
20220923,102.0
20220924,130.6
20220925,114.5
20220926,91.2
20220927,92.4
20220928,96.2
20220929,93.7
20220930,101.6
20221001,117.9
20221002,103.4
20221003,90.0
20221004,74.1
20221005,80.7
20221006,77.1
20221007,90.0
20221008,127.5
20221009,104.3
20221010,102.3
20221011,82.4
20221012,96.2
20221013,85.8
20221014,100.8
20221015,137.5
20221016,122.2
20221017,88.4
20221018,91.7
20221019,101.5
20221020,93.9
20221021,105.0
20221022,130.5
20221023,121.5
20221024,91.4
20221025,91.7
20221026,95.6
20221027,93.9
20221028,104.3
20221029,131.4
20221030,112.8
20221031,96.9
20221101,76.7
20221102,83.5
20221103,77.5
20221104,92.9
20221105,131.6
20221106,114.3
20221107,72.6
20221108,72.9
