기준연월,방문비율
20220811,79.8
20220812,91.8
20220813,194.2
20220814,197.7
20220815,168.9
20220816,88.8
20220817,83.9
20220818,88.4
20220819,96.9
20220820,184.1
20220821,166.7
20220822,66.2
20220823,67.1
20220824,65.8
20220825,74.1
20220826,86.4
20220827,181.9
20220828,173.7
20220829,71.9
20220830,78.5
20220831,76.0
20220901,81.9
20220902,89.7
20220903,149.3
20220904,146.1
20220905,71.9
20220906,66.3
20220907,51.0
20220908,66.3
20220909,144.1
20220910,154.9
20220911,155.8
20220912,142.3
20220913,65.0
20220914,69.6
20220915,79.8
20220916,85.0
20220917,145.8
20220918,148.3
20220919,63.5
20220920,65.1
20220921,63.5
20220922,70.6
20220923,80.9
20220924,143.2
20220925,147.9
20220926,64.9
20220927,68.1
20220928,69.9
20220929,79.3
20220930,89.1
20221001,140.5
20221002,141.8
20221003,134.0
20221004,64.1
20221005,70.8
20221006,79.4
20221007,82.8
20221008,145.5
20221009,152.9
20221010,129.1
20221011,60.1
20221012,62.8
20221013,74.8
20221014,85.7
20221015,145.0
20221016,137.6
20221017,64.8
20221018,64.1
20221019,64.1
20221020,74.7
20221021,80.5
20221022,142.9
20221023,139.4
20221024,62.5
20221025,70.3
20221026,70.1
20221027,80.9
20221028,89.3
20221029,155.6
20221030,149.1
20221031,75.0
20221101,64.7
20221102,63.4
20221103,70.4
20221104,79.1
20221105,145.7
20221106,137.1
20221107,55.6
20221108,56.2
