기준연월,방문비율
20220811,114.3
20220812,131.1
20220813,231.5
20220814,247.2
20220815,190.2
20220816,118.2
20220817,107.7
20220818,106.6
20220819,128.0
20220820,221.7
20220821,196.3
20220822,88.5
20220823,82.4
20220824,81.0
20220825,83.2
20220826,111.0
20220827,216.5
20220828,205.8
20220829,82.9
20220830,79.5
20220831,93.4
20220901,79.3
20220902,121.5
20220903,206.2
20220904,194.1
20220905,83.4
20220906,49.2
20220907,50.1
20220908,89.1
20220909,208.3
20220910,250.1
20220911,226.9
20220912,206.6
20220913,57.5
20220914,73.1
20220915,97.4
20220916,111.3
20220917,205.6
20220918,205.3
20220919,95.7
20220920,72.0
20220921,67.9
20220922,81.5
20220923,129.1
20220924,227.3
20220925,218.6
20220926,96.0
20220927,64.5
20220928,63.4
20220929,77.3
20220930,116.6
20221001,209.4
20221002,204.1
20221003,165.0
20221004,45.4
20221005,51.1
20221006,55.6
20221007,97.0
20221008,205.6
20221009,209.8
20221010,191.1
20221011,47.5
20221012,54.0
20221013,58.1
20221014,99.9
20221015,202.2
20221016,190.6
20221017,71.7
20221018,54.5
20221019,57.6
20221020,69.2
20221021,100.1
20221022,204.8
20221023,206.1
20221024,92.7
20221025,64.6
20221026,66.8
20221027,76.5
20221028,110.1
20221029,231.9
20221030,224.4
20221031,94.0
20221101,40.7
20221102,38.6
20221103,47.9
20221104,86.3
20221105,201.4
20221106,186.4
20221107,63.1
20221108,35.3
