기준연월,방문비율
20220817,110.5
20220818,118.9
20220819,163.7
20220820,252.7
20220821,275.6
20220822,134.0
20220823,103.4
20220824,138.2
20220825,162.0
20220826,173.5
20220827,283.4
20220828,264.6
20220829,101.6
20220830,99.6
20220831,125.1
20220901,144.8
20220902,161.4
20220903,285.4
20220904,232.1
20220905,78.0
20220906,78.8
20220907,97.8
20220908,141.7
20220909,237.5
20220910,277.3
20220911,247.7
20220912,218.0
20220913,91.7
20220914,112.3
20220915,144.5
20220916,163.1
20220917,251.1
20220918,231.9
20220919,94.5
20220920,105.0
20220921,124.6
20220922,146.1
20220923,160.2
20220924,237.3
20220925,232.7
20220926,100.0
20220927,117.5
20220928,120.1
20220929,113.0
20220930,141.7
20221001,230.0
20221002,225.7
20221003,189.8
20221004,113.2
20221005,115.5
20221006,141.8
20221007,132.4
20221008,240.9
20221009,235.7
20221010,197.4
20221011,130.3
20221012,127.0
20221013,120.5
20221014,137.3
20221015,242.7
20221016,228.2
20221017,90.8
20221018,127.5
20221019,122.2
20221020,106.1
20221021,139.7
20221022,247.7
20221023,233.2
20221024,123.2
20221025,129.1
20221026,120.8
20221027,115.4
20221028,144.4
20221029,239.4
20221030,225.8
20221031,120.5
20221101,121.3
20221102,90.5
20221103,92.3
20221104,134.7
20221105,248.9
20221106,234.4
20221107,104.1
20221108,111.0
20221109,80.6
20221110,97.2
20221111,134.5
20221112,244.6
20221113,227.3
20221114,111.0
