기준연월,방문비율
20220811,111.5
20220812,118.9
20220813,157.9
20220814,168.5
20220815,158.2
20220816,116.9
20220817,113.5
20220818,130.2
20220819,136.9
20220820,173.6
20220821,156.5
20220822,123.7
20220823,131.8
20220824,131.3
20220825,141.6
20220826,145.2
20220827,179.1
20220828,163.3
20220829,126.3
20220830,137.3
20220831,124.0
20220901,113.5
20220902,118.5
20220903,145.7
20220904,124.0
20220905,87.2
20220906,82.8
20220907,77.9
20220908,103.3
20220909,157.0
20220910,174.6
20220911,165.1
20220912,162.2
20220913,102.9
20220914,100.3
20220915,112.7
20220916,120.4
20220917,149.5
20220918,131.9
20220919,102.3
20220920,119.4
20220921,102.4
20220922,113.1
20220923,121.7
20220924,153.4
20220925,132.8
20220926,123.5
20220927,121.8
20220928,109.5
20220929,127.9
20220930,137.0
20221001,152.1
20221002,128.4
20221003,136.7
20221004,92.2
20221005,82.7
20221006,107.4
20221007,114.3
20221008,152.6
20221009,152.6
20221010,152.2
20221011,95.6
20221012,82.2
20221013,109.5
20221014,116.8
20221015,153.7
20221016,131.8
20221017,91.4
20221018,97.3
20221019,84.0
20221020,115.0
20221021,123.1
20221022,158.3
20221023,133.1
20221024,115.4
20221025,116.0
20221026,107.9
20221027,126.8
20221028,138.1
20221029,173.3
20221030,152.3
20221031,109.2
20221101,100.7
20221102,83.4
20221103,106.9
20221104,117.2
20221105,154.3
20221106,135.6
20221107,82.7
20221108,94.1
