광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,철원군,7.7,82.2
강원도,춘천시,7.7,5.6
강원도,원주시,7.7,4.1
강원도,화천군,7.7,0.8
강원도,강릉시,7.7,1.2
강원도,홍천군,7.7,1.3
강원도,정선군,7.7,0.2
강원도,인제군,7.7,0.4
강원도,영월군,7.7,0.6
강원도,고성군,7.7,0.3
강원도,양양군,7.7,0.3
강원도,평창군,7.7,0.5
강원도,동해시,7.7,0.2
강원도,횡성군,7.7,0.3
강원도,속초시,7.7,0.9
강원도,양구군,7.7,0.2
강원도,삼척시,7.7,0.7
강원도,태백시,7.7,0.2
경기도,의정부시,50.5,13.7
경기도,양주시,50.5,9.1
경기도,파주시,50.5,7.1
경기도,남양주시,50.5,8.5
경기도,동두천시,50.5,7.1
경기도,연천군,50.5,5.3
경기도,김포시,50.5,4.1
경기도,고양시 덕양구,50.5,4.5
경기도,부천시,50.5,4.7
경기도,고양시 일산서구,50.5,3.4
경기도,고양시 일산동구,50.5,3.3
경기도,하남시,50.5,2.1
경기도,구리시,50.5,2.4
경기도,화성시,50.5,2.0
경기도,안산시 단원구,50.5,1.3
경기도,성남시 분당구,50.5,1.6
경기도,시흥시,50.5,1.7
경기도,광주시,50.5,1.4
경기도,용인시 기흥구,50.5,1.2
경기도,안산시 상록구,50.5,0.8
경기도,안양시 동안구,50.5,1.1
경기도,광명시,50.5,0.9
경기도,평택시,50.5,1.0
경기도,군포시,50.5,0.8
경기도,수원시 권선구,50.5,0.9
경기도,용인시 수지구,50.5,1.0
경기도,가평군,50.5,1.0
경기도,의왕시,50.5,0.7
경기도,용인시 처인구,50.5,0.6
경기도,성남시 중원구,50.5,0.7
경기도,수원시 장안구,50.5,0.7
경기도,수원시 영통구,50.5,0.8
경기도,오산시,50.5,0.4
경기도,성남시 수정구,50.5,1.0
경기도,수원시 팔달구,50.5,0.4
경기도,안양시 만안구,50.5,0.7
경기도,안성시,50.5,0.3
경기도,여주시,50.5,0.3
경기도,이천시,50.5,0.5
경기도,양평군,50.5,0.4
경기도,과천시,50.5,0.3
경기도,포천시,50.5,0.1
경상남도,창원시 마산합포구,0.4,6.0
경상남도,김해시,0.4,11.1
경상남도,양산시,0.4,9.8
경상남도,진주시,0.4,12.9
경상남도,함안군,0.4,2.3
경상남도,창원시 성산구,0.4,10.9
경상남도,통영시,0.4,2.3
경상남도,하동군,0.4,1.5
경상남도,창녕군,0.4,6.4
경상남도,사천시,0.4,3.8
경상남도,합천군,0.4,1.5
경상남도,거제시,0.4,5.7
경상남도,창원시 의창구,0.4,5.7
경상남도,거창군,0.4,1.5
경상남도,창원시 진해구,0.4,5.3
경상남도,창원시 마산회원구,0.4,4.6
경상남도,밀양시,0.4,3.4
경상남도,산청군,0.4,0.8
경상남도,함양군,0.4,1.2
경상남도,고성군,0.4,2.6
경상남도,남해군,0.4,0.8
경상북도,경산시,0.6,16.6
경상북도,포항시 남구,0.6,9.7
경상북도,안동시,0.6,7.3
경상북도,상주시,0.6,4.0
경상북도,경주시,0.6,6.1
경상북도,포항시 북구,0.6,4.1
경상북도,칠곡군,0.6,4.0
경상북도,구미시,0.6,11.6
경상북도,청도군,0.6,1.8
경상북도,영양군,0.6,0.7
경상북도,문경시,0.6,7.4
경상북도,울릉군,0.6,0.4
경상북도,영천시,0.6,8.6
경상북도,영주시,0.6,4.6
경상북도,의성군,0.6,0.9
경상북도,영덕군,0.6,2.7
경상북도,고령군,0.6,1.1
경상북도,봉화군,0.6,1.1
경상북도,김천시,0.6,2.9
경상북도,예천군,0.6,0.9
경상북도,청송군,0.6,1.3
경상북도,울진군,0.6,1.8
경상북도,성주군,0.6,0.2
광주광역시,동구,0.2,19.0
광주광역시,서구,0.2,21.9
광주광역시,광산구,0.2,31.8
광주광역시,북구,0.2,17.4
광주광역시,남구,0.2,9.8
대구광역시,달서구,0.4,21.8
대구광역시,남구,0.4,11.4
대구광역시,북구,0.4,17.1
대구광역시,동구,0.4,18.5
대구광역시,수성구,0.4,20.0
대구광역시,달성군,0.4,6.7
대구광역시,중구,0.4,1.4
대구광역시,서구,0.4,3.2
대전광역시,유성구,0.6,34.9
대전광역시,서구,0.6,31.5
대전광역시,동구,0.6,10.8
대전광역시,중구,0.6,14.0
대전광역시,대덕구,0.6,8.8
부산광역시,사하구,0.4,16.3
부산광역시,해운대구,0.4,15.6
부산광역시,동래구,0.4,4.9
부산광역시,금정구,0.4,7.1
부산광역시,부산진구,0.4,7.7
부산광역시,북구,0.4,8.0
부산광역시,수영구,0.4,5.8
부산광역시,영도구,0.4,4.0
부산광역시,서구,0.4,2.5
부산광역시,사상구,0.4,5.5
부산광역시,남구,0.4,6.1
부산광역시,강서구,0.4,3.4
부산광역시,동구,0.4,2.2
부산광역시,기장군,0.4,5.6
부산광역시,연제구,0.4,4.7
부산광역시,중구,0.4,0.6
서울특별시,노원구,29.5,12.0
서울특별시,도봉구,29.5,7.4
서울특별시,성북구,29.5,5.5
서울특별시,송파구,29.5,5.9
서울특별시,강서구,29.5,5.5
서울특별시,강동구,29.5,5.2
서울특별시,은평구,29.5,5.1
서울특별시,중랑구,29.5,5.0
서울특별시,서대문구,29.5,3.1
서울특별시,양천구,29.5,3.7
서울특별시,광진구,29.5,3.4
서울특별시,강북구,29.5,4.8
서울특별시,마포구,29.5,3.5
서울특별시,동대문구,29.5,3.7
서울특별시,성동구,29.5,2.6
