기준연월,방문비율
20220811,142.2
20220812,164.3
20220813,235.8
20220814,164.3
20220815,348.3
20220816,129.0
20220817,129.0
20220818,142.2
20220819,164.3
20220820,241.5
20220821,206.7
20220822,129.0
20220823,141.0
20220824,156.8
20220825,146.6
20220826,169.4
20220827,240.2
20220828,199.1
20220829,121.4
20220830,156.1
20220831,148.5
20220901,144.1
20220902,172.6
20220903,243.4
20220904,214.9
20220905,137.2
20220906,148.5
20220907,148.5
20220908,161.8
20220909,415.9
20220910,448.2
20220911,407.7
20220912,369.8
20220913,150.4
20220914,150.4
20220915,163.7
20220916,186.5
20220917,257.3
20220918,209.9
20220919,138.4
20220920,156.1
20220921,162.5
20220922,175.7
20220923,198.5
20220924,285.7
20220925,220.6
20220926,143.5
20220927,154.9
20220928,154.9
20220929,168.1
20220930,213.7
20221001,237.7
20221002,202.3
20221003,355.9
20221004,148.5
20221005,148.5
20221006,161.8
20221007,184.6
20221008,255.4
20221009,405.8
20221010,369.2
20221011,149.8
20221012,149.8
20221013,163.7
20221014,185.8
20221015,256.6
20221016,216.2
20221017,138.4
20221018,149.8
20221019,149.8
20221020,169.4
20221021,197.9
20221022,269.3
20221023,228.2
20221024,166.9
20221025,154.9
20221026,154.9
20221027,168.1
20221028,190.9
20221029,261.7
20221030,243.4
20221031,158.0
20221101,130.2
20221102,136.5
20221103,149.8
20221104,184.6
20221105,255.4
20221106,214.3
20221107,136.5
20221108,148.5
