기준연월,방문비율
20220817,102.9
20220818,99.8
20220819,112.5
20220820,113.1
20220821,94.1
20220822,88.5
20220823,99.3
20220824,102.2
20220825,118.3
20220826,112.6
20220827,115.5
20220828,98.0
20220829,108.8
20220830,114.7
20220831,119.7
20220901,109.9
20220902,107.8
20220903,105.8
20220904,105.4
20220905,93.9
20220906,108.4
20220907,98.1
20220908,104.4
20220909,118.7
20220910,120.7
20220911,115.4
20220912,121.1
20220913,117.8
20220914,115.5
20220915,118.7
20220916,116.7
20220917,112.4
20220918,108.5
20220919,109.4
20220920,136.6
20220921,122.5
20220922,115.8
20220923,114.1
20220924,116.6
20220925,109.5
20220926,134.7
20220927,138.2
20220928,119.6
20220929,107.6
20220930,124.5
20221001,108.2
20221002,101.6
20221003,109.5
20221004,112.9
20221005,117.3
20221006,116.7
20221007,113.3
20221008,116.7
20221009,125.0
20221010,112.6
20221011,112.9
20221012,117.4
20221013,117.2
20221014,125.9
20221015,118.6
20221016,110.4
20221017,103.3
20221018,134.3
20221019,131.9
20221020,134.7
20221021,136.0
20221022,117.7
20221023,109.4
20221024,130.6
20221025,141.6
20221026,140.7
20221027,143.4
20221028,139.2
20221029,129.0
20221030,118.3
20221031,126.2
20221101,108.0
20221102,102.8
20221103,112.0
20221104,113.5
20221105,114.8
20221106,118.7
20221107,87.2
20221108,99.1
20221109,112.0
20221110,111.9
20221111,119.9
20221112,126.9
20221113,118.5
20221114,90.2
