기준연월,방문비율
20220811,75.6
20220812,95.0
20220813,115.8
20220814,121.4
20220815,114.4
20220816,91.0
20220817,92.6
20220818,97.7
20220819,115.9
20220820,123.8
20220821,94.8
20220822,86.6
20220823,92.6
20220824,94.2
20220825,105.6
20220826,122.0
20220827,144.9
20220828,119.1
20220829,94.7
20220830,97.8
20220831,100.1
20220901,93.1
20220902,115.7
20220903,128.9
20220904,114.7
20220905,83.4
20220906,80.4
20220907,65.4
20220908,93.1
20220909,145.7
20220910,148.4
20220911,120.3
20220912,134.6
20220913,79.7
20220914,84.3
20220915,94.5
20220916,111.8
20220917,116.6
20220918,99.2
20220919,87.0
20220920,87.4
20220921,85.4
20220922,93.9
20220923,109.4
20220924,132.5
20220925,112.6
20220926,83.7
20220927,87.3
20220928,90.6
20220929,97.8
20220930,118.4
20221001,122.4
20221002,108.7
20221003,105.9
20221004,84.9
20221005,81.4
20221006,95.1
20221007,115.2
20221008,125.7
20221009,118.0
20221010,109.8
20221011,77.7
20221012,79.1
20221013,87.8
20221014,109.2
20221015,119.5
20221016,100.8
20221017,82.2
20221018,82.9
20221019,84.1
20221020,93.9
20221021,109.3
20221022,115.1
20221023,100.7
20221024,89.6
20221025,88.6
20221026,84.7
20221027,96.6
20221028,120.0
20221029,130.2
20221030,109.4
20221031,91.4
20221101,89.6
20221102,84.4
20221103,97.0
20221104,127.7
20221105,150.0
20221106,126.4
20221107,81.3
20221108,82.6
