기준연월,방문비율
20220811,97.7
20220812,99.7
20220813,127.6
20220814,103.9
20220815,138.6
20220816,105.6
20220817,106.9
20220818,108.0
20220819,109.4
20220820,129.8
20220821,121.3
20220822,98.5
20220823,105.3
20220824,107.7
20220825,110.1
20220826,112.9
20220827,136.5
20220828,126.7
20220829,101.4
20220830,105.7
20220831,106.7
20220901,114.3
20220902,123.1
20220903,192.6
20220904,187.9
20220905,105.4
20220906,107.8
20220907,102.8
20220908,118.9
20220909,196.1
20220910,213.2
20220911,212.5
20220912,203.4
20220913,126.3
20220914,126.8
20220915,134.0
20220916,142.0
20220917,204.1
20220918,199.5
20220919,132.9
20220920,136.0
20220921,134.8
20220922,134.4
20220923,140.4
20220924,204.5
20220925,202.0
20220926,131.3
20220927,134.1
20220928,135.1
20220929,136.4
20220930,142.1
20221001,194.8
20221002,197.7
20221003,186.4
20221004,104.7
20221005,106.0
20221006,110.1
20221007,120.2
20221008,196.6
20221009,212.2
20221010,198.6
20221011,122.2
20221012,121.9
20221013,126.1
20221014,134.0
20221015,203.6
20221016,196.1
20221017,123.3
20221018,127.6
20221019,132.3
20221020,133.4
20221021,137.7
20221022,199.6
20221023,195.7
20221024,128.2
20221025,132.7
20221026,132.9
20221027,134.0
20221028,139.8
20221029,204.0
20221030,203.6
20221031,127.8
20221101,103.7
20221102,102.5
20221103,105.8
20221104,117.4
20221105,173.9
20221106,173.1
20221107,98.6
20221108,100.6
