기준연월,방문비율
20220811,90.4
20220812,94.9
20220813,204.8
20220814,226.0
20220815,184.0
20220816,94.5
20220817,98.2
20220818,100.7
20220819,105.0
20220820,202.5
20220821,190.4
20220822,90.9
20220823,89.4
20220824,93.7
20220825,105.8
20220826,107.8
20220827,212.8
20220828,204.5
20220829,97.4
20220830,97.5
20220831,99.1
20220901,103.3
20220902,115.3
20220903,223.1
20220904,229.9
20220905,94.8
20220906,83.2
20220907,90.4
20220908,103.3
20220909,222.5
20220910,244.4
20220911,241.3
20220912,172.5
20220913,88.5
20220914,101.0
20220915,109.0
20220916,113.1
20220917,233.3
20220918,235.1
20220919,93.6
20220920,93.5
20220921,97.7
20220922,109.2
20220923,113.9
20220924,232.9
20220925,237.5
20220926,99.7
20220927,98.1
20220928,108.3
20220929,116.1
20220930,123.2
20221001,217.6
20221002,234.9
20221003,220.1
20221004,77.0
20221005,93.9
20221006,101.8
20221007,98.0
20221008,227.7
20221009,265.3
20221010,176.3
20221011,84.4
20221012,88.3
20221013,93.7
20221014,101.9
20221015,239.3
20221016,220.4
20221017,82.2
20221018,84.7
20221019,89.4
20221020,95.5
20221021,99.6
20221022,227.2
20221023,231.0
20221024,86.2
20221025,90.1
20221026,96.3
20221027,101.7
20221028,111.0
20221029,228.6
20221030,228.2
20221031,96.3
20221101,70.3
20221102,93.7
20221103,100.0
20221104,101.6
20221105,240.2
20221106,228.3
20221107,80.2
20221108,76.6
