기준연월,방문비율
20220811,74.1
20220812,101.4
20220813,155.0
20220814,141.8
20220815,134.6
20220816,104.6
20220817,100.5
20220818,99.8
20220819,104.5
20220820,152.1
20220821,151.0
20220822,95.3
20220823,101.6
20220824,94.9
20220825,107.3
20220826,114.8
20220827,164.4
20220828,157.4
20220829,101.5
20220830,101.0
20220831,94.4
20220901,98.9
20220902,109.2
20220903,167.1
20220904,218.9
20220905,99.3
20220906,97.1
20220907,90.8
20220908,107.2
20220909,250.9
20220910,251.0
20220911,262.4
20220912,199.2
20220913,125.0
20220914,114.0
20220915,117.4
20220916,120.9
20220917,199.7
20220918,222.1
20220919,117.8
20220920,121.6
20220921,113.6
20220922,112.3
20220923,115.5
20220924,198.0
20220925,230.3
20220926,108.3
20220927,116.2
20220928,112.8
20220929,110.3
20220930,103.6
20221001,180.5
20221002,184.0
20221003,124.1
20221004,85.5
20221005,115.8
20221006,96.5
20221007,97.7
20221008,192.6
20221009,185.6
20221010,136.6
20221011,90.0
20221012,91.1
20221013,99.4
20221014,100.0
20221015,185.1
20221016,183.2
20221017,91.9
20221018,101.9
20221019,105.0
20221020,107.6
20221021,102.1
20221022,200.7
20221023,202.8
20221024,96.7
20221025,113.7
20221026,110.7
20221027,109.2
20221028,103.4
20221029,174.2
20221030,183.6
20221031,103.8
20221101,93.1
20221102,90.7
20221103,94.4
20221104,99.6
20221105,178.8
20221106,187.4
20221107,84.7
20221108,85.3
