기준연월,방문비율
20220811,122.2
20220812,133.4
20220813,125.5
20220814,101.7
20220815,130.3
20220816,137.9
20220817,137.9
20220818,143.5
20220819,148.7
20220820,138.9
20220821,116.0
20220822,137.1
20220823,144.4
20220824,144.4
20220825,148.1
20220826,153.1
20220827,140.3
20220828,116.5
20220829,140.9
20220830,148.5
20220831,146.1
20220901,123.2
20220902,131.6
20220903,122.8
20220904,101.4
20220905,119.0
20220906,122.1
20220907,122.0
20220908,130.7
20220909,139.1
20220910,134.4
20220911,112.0
20220912,132.1
20220913,130.9
20220914,134.8
20220915,142.6
20220916,152.7
20220917,146.5
20220918,121.4
20220919,142.2
20220920,150.0
20220921,150.9
20220922,154.3
20220923,158.3
20220924,150.0
20220925,123.8
20220926,148.8
20220927,157.0
20220928,155.3
20220929,158.4
20220930,162.2
20221001,130.8
20221002,104.8
20221003,123.9
20221004,128.5
20221005,127.1
20221006,130.6
20221007,139.0
20221008,138.7
20221009,113.8
20221010,134.0
20221011,134.0
20221012,133.4
20221013,135.8
20221014,149.3
20221015,145.4
20221016,118.1
20221017,137.9
20221018,144.6
20221019,143.5
20221020,146.5
20221021,156.4
20221022,147.2
20221023,121.0
20221024,144.3
20221025,152.1
20221026,151.9
20221027,156.5
20221028,160.3
20221029,148.3
20221030,121.1
20221031,147.6
20221101,130.4
20221102,128.4
20221103,128.7
20221104,137.1
20221105,130.3
20221106,108.7
20221107,128.6
20221108,134.6
