기준연월,방문비율
20220811,72.7
20220812,85.8
20220813,158.6
20220814,156.3
20220815,129.1
20220816,81.0
20220817,78.8
20220818,78.5
20220819,90.4
20220820,152.4
20220821,167.1
20220822,93.3
20220823,81.9
20220824,86.0
20220825,97.3
20220826,95.8
20220827,160.2
20220828,186.9
20220829,108.3
20220830,90.2
20220831,95.1
20220901,85.3
20220902,106.3
20220903,157.4
20220904,151.4
20220905,78.0
20220906,70.2
20220907,49.1
20220908,81.2
20220909,189.1
20220910,205.5
20220911,195.2
20220912,171.1
20220913,75.6
20220914,76.4
20220915,85.7
20220916,105.1
20220917,165.8
20220918,171.1
20220919,90.4
20220920,83.5
20220921,78.6
20220922,86.3
20220923,102.7
20220924,174.5
20220925,187.0
20220926,88.4
20220927,81.7
20220928,84.7
20220929,92.4
20220930,124.0
20221001,148.5
20221002,140.0
20221003,150.7
20221004,70.4
20221005,75.8
20221006,85.5
20221007,91.9
20221008,160.0
20221009,166.7
20221010,156.2
20221011,79.7
20221012,77.5
20221013,85.3
20221014,103.3
20221015,166.0
20221016,160.5
20221017,89.5
20221018,87.2
20221019,83.8
20221020,88.7
20221021,104.2
20221022,163.5
20221023,171.1
20221024,102.6
20221025,100.7
20221026,90.4
20221027,103.0
20221028,118.3
20221029,191.3
20221030,212.5
20221031,126.9
20221101,88.0
20221102,92.5
20221103,92.6
20221104,115.7
20221105,178.6
20221106,169.9
20221107,90.8
20221108,76.8
