기준연월,방문비율
20220817,90.4
20220818,91.9
20220819,94.5
20220820,58.9
20220821,49.0
20220822,92.7
20220823,94.7
20220824,91.8
20220825,98.9
20220826,100.2
20220827,69.6
20220828,51.3
20220829,94.7
20220830,92.2
20220831,90.3
20220901,89.4
20220902,90.2
20220903,63.1
20220904,45.3
20220905,79.6
20220906,80.5
20220907,79.4
20220908,94.1
20220909,66.1
20220910,65.9
20220911,51.0
20220912,59.7
20220913,91.9
20220914,96.8
20220915,103.6
20220916,102.8
20220917,63.1
20220918,51.1
20220919,96.6
20220920,102.3
20220921,98.8
20220922,105.8
20220923,105.8
20220924,68.7
20220925,55.0
20220926,103.2
20220927,99.1
20220928,102.2
20220929,98.5
20220930,98.2
20221001,61.7
20221002,47.6
20221003,60.3
20221004,97.6
20221005,98.7
20221006,98.6
20221007,94.2
20221008,66.9
20221009,51.0
20221010,65.7
20221011,99.9
20221012,101.9
20221013,99.5
20221014,103.3
20221015,69.2
20221016,55.1
20221017,103.0
20221018,110.6
20221019,111.2
20221020,110.6
20221021,109.0
20221022,72.0
20221023,58.0
20221024,109.0
20221025,112.5
20221026,108.7
20221027,109.1
20221028,108.9
20221029,74.1
20221030,56.1
20221031,105.3
20221101,95.1
20221102,96.3
20221103,93.5
20221104,94.5
20221105,66.7
20221106,48.9
20221107,86.6
20221108,90.5
20221109,94.9
20221110,95.2
20221111,97.0
20221112,66.4
20221113,51.1
20221114,99.4
