기준연월,방문비율
20220811,140.6
20220812,148.4
20220813,163.9
20220814,174.7
20220815,145.2
20220816,123.0
20220817,126.6
20220818,110.0
20220819,127.5
20220820,166.3
20220821,163.2
20220822,103.8
20220823,116.7
20220824,116.3
20220825,108.8
20220826,111.6
20220827,158.4
20220828,163.9
20220829,127.1
20220830,130.3
20220831,137.7
20220901,53.0
20220902,88.2
20220903,108.1
20220904,89.9
20220905,71.5
20220906,90.1
20220907,94.4
20220908,94.9
20220909,166.3
20220910,184.5
20220911,182.4
20220912,117.5
20220913,66.5
20220914,74.8
20220915,65.9
20220916,74.1
20220917,124.4
20220918,125.5
20220919,80.7
20220920,91.8
20220921,89.8
20220922,78.6
20220923,84.1
20220924,121.4
20220925,114.8
20220926,66.8
20220927,79.4
20220928,95.4
20220929,93.1
20220930,72.2
20221001,150.6
20221002,142.8
20221003,122.2
20221004,90.2
20221005,102.9
20221006,102.7
20221007,113.0
20221008,156.1
20221009,195.7
20221010,125.1
20221011,94.5
20221012,97.4
20221013,76.0
20221014,87.8
20221015,154.0
20221016,150.9
20221017,74.5
20221018,89.6
20221019,101.5
20221020,94.5
20221021,95.7
20221022,166.7
20221023,160.6
20221024,85.7
20221025,94.1
20221026,91.9
20221027,81.6
20221028,90.7
20221029,166.6
20221030,157.1
20221031,97.4
20221101,64.5
20221102,79.1
20221103,71.3
20221104,84.8
20221105,145.2
20221106,140.5
20221107,82.3
20221108,108.4
