기준연월,방문비율
20220811,90.9
20220812,93.0
20220813,151.4
20220814,119.2
20220815,168.2
20220816,108.0
20220817,96.1
20220818,92.2
20220819,107.1
20220820,157.6
20220821,130.9
20220822,47.8
20220823,77.3
20220824,63.5
20220825,76.2
20220826,78.1
20220827,185.4
20220828,167.7
20220829,66.5
20220830,93.1
20220831,78.4
20220901,38.2
20220902,59.6
20220903,73.3
20220904,60.4
20220905,25.7
20220906,53.9
20220907,40.8
20220908,61.0
20220909,130.6
20220910,166.2
20220911,134.3
20220912,119.0
20220913,39.9
20220914,24.8
20220915,37.9
20220916,37.1
20220917,68.0
20220918,71.3
20220919,33.5
20220920,58.4
20220921,35.6
20220922,51.7
20220923,54.2
20220924,77.8
20220925,65.3
20220926,47.9
20220927,66.8
20220928,67.7
20220929,78.0
20220930,86.0
20221001,109.1
20221002,114.1
20221003,98.0
20221004,46.7
20221005,39.0
20221006,73.5
20221007,74.9
20221008,141.5
20221009,128.1
20221010,105.3
20221011,51.9
20221012,35.8
20221013,48.4
20221014,48.8
20221015,112.4
20221016,95.1
20221017,39.3
20221018,53.4
20221019,50.7
20221020,55.3
20221021,59.0
20221022,126.3
20221023,108.2
20221024,53.8
20221025,70.5
20221026,55.1
20221027,74.0
20221028,94.1
20221029,155.3
20221030,137.0
20221031,65.0
20221101,43.3
20221102,42.8
20221103,50.4
20221104,74.2
20221105,121.3
20221106,98.1
20221107,38.2
20221108,62.1
