기준연월,방문비율
20220811,118.7
20220812,143.2
20220813,299.1
20220814,299.9
20220815,155.7
20220816,101.3
20220817,109.6
20220818,98.2
20220819,116.4
20220820,271.3
20220821,249.1
20220822,61.9
20220823,78.1
20220824,85.1
20220825,92.2
20220826,111.1
20220827,271.0
20220828,238.1
20220829,61.2
20220830,97.3
20220831,104.1
20220901,25.2
20220902,39.8
20220903,156.7
20220904,123.2
20220905,33.9
20220906,23.5
20220907,28.2
20220908,35.0
20220909,133.6
20220910,174.5
20220911,149.3
20220912,88.7
20220913,16.5
20220914,23.3
20220915,29.3
20220916,45.1
20220917,162.8
20220918,128.2
20220919,24.4
20220920,26.5
20220921,27.7
20220922,24.7
20220923,47.9
20220924,154.3
20220925,139.3
20220926,32.0
20220927,27.8
20220928,33.7
20220929,34.4
20220930,49.1
20221001,158.4
20221002,136.4
20221003,81.3
20221004,32.1
20221005,30.0
20221006,42.4
20221007,60.2
20221008,194.2
20221009,161.4
20221010,93.3
20221011,20.5
20221012,29.7
20221013,27.6
20221014,43.6
20221015,165.2
20221016,140.0
20221017,23.3
20221018,20.7
20221019,24.9
20221020,28.6
20221021,41.8
20221022,158.6
20221023,139.3
20221024,24.7
20221025,23.5
20221026,30.2
20221027,29.9
20221028,47.3
20221029,165.0
20221030,146.6
20221031,26.3
20221101,26.0
20221102,22.8
20221103,32.7
20221104,50.7
20221105,175.3
20221106,156.9
20221107,26.4
20221108,23.8
