기준연월,방문비율
20220811,15.8
20220812,16.2
20220813,10.3
20220814,8.6
20220815,11.5
20220816,15.4
20220817,17.7
20220818,16.6
20220819,16.7
20220820,10.4
20220821,6.0
20220822,12.9
20220823,17.3
20220824,16.9
20220825,14.8
20220826,15.2
20220827,9.3
20220828,7.4
20220829,11.8
20220830,17.7
20220831,17.3
20220901,10.4
20220902,8.3
20220903,5.2
20220904,4.2
20220905,10.0
20220906,11.1
20220907,11.8
20220908,11.8
20220909,5.7
20220910,8.3
20220911,5.7
20220912,13.2
20220913,14.4
20220914,15.9
20220915,13.6
20220916,10.7
20220917,9.7
20220918,7.1
20220919,12.1
20220920,14.3
20220921,15.0
20220922,17.8
20220923,16.5
20220924,12.9
20220925,9.7
20220926,15.8
20220927,17.3
20220928,20.4
20220929,19.3
20220930,20.0
20221001,8.7
20221002,6.8
20221003,9.4
20221004,15.2
20221005,15.3
20221006,14.8
20221007,11.7
20221008,6.7
20221009,5.6
20221010,12.1
20221011,18.2
20221012,17.6
20221013,16.8
20221014,14.1
20221015,8.3
20221016,5.5
20221017,12.9
20221018,16.0
20221019,16.2
20221020,16.0
20221021,16.5
20221022,11.7
20221023,10.1
20221024,19.6
20221025,20.6
20221026,20.1
20221027,20.6
20221028,21.8
20221029,15.9
20221030,14.9
20221031,20.0
20221101,15.2
20221102,14.0
20221103,13.4
20221104,15.1
20221105,10.9
20221106,9.4
20221107,14.1
20221108,15.3
