기준연월,방문비율
20220811,15.2
20220812,0.0
20220813,36.7
20220814,73.3
20220815,69.5
20220816,37.9
20220817,43.0
20220818,45.5
20220819,21.5
20220820,22.8
20220821,20.2
20220822,12.6
20220823,11.4
20220824,25.3
20220825,24.0
20220826,31.6
20220827,30.3
20220828,22.8
20220829,7.6
20220830,8.8
20220831,16.4
20220901,16.4
20220902,30.3
20220903,17.7
20220904,39.2
20220905,22.8
20220906,13.9
20220907,19.0
20220908,24.0
20220909,36.7
20220910,45.5
20220911,65.7
20220912,39.2
20220913,16.4
20220914,34.1
20220915,43.0
20220916,26.5
20220917,58.2
20220918,70.8
20220919,19.0
20220920,31.6
20220921,26.5
20220922,21.5
20220923,15.2
20220924,31.6
20220925,60.7
20220926,17.7
20220927,27.8
20220928,35.4
20220929,26.5
20220930,19.0
20221001,49.3
20221002,73.3
20221003,44.2
20221004,22.8
20221005,31.6
20221006,44.2
20221007,26.5
20221008,32.9
20221009,61.9
20221010,39.2
20221011,0.0
20221012,12.6
20221013,29.1
20221014,26.5
20221015,70.8
20221016,45.5
20221017,31.6
20221018,36.7
20221019,29.1
20221020,32.9
20221021,13.9
20221022,41.7
20221023,64.5
20221024,29.1
20221025,26.5
20221026,39.2
20221027,51.8
20221028,46.8
20221029,37.9
20221030,29.1
20221031,0.0
20221101,3.8
20221102,21.5
20221103,49.3
20221104,36.7
20221105,64.5
20221106,61.9
20221107,19.0
20221108,6.3
