기준연월,방문비율
20220811,142.5
20220812,138.7
20220813,141.6
20220814,143.2
20220815,141.3
20220816,102.8
20220817,99.6
20220818,125.6
20220819,122.0
20220820,133.2
20220821,126.2
20220822,106.3
20220823,104.7
20220824,124.6
20220825,123.3
20220826,118.2
20220827,141.9
20220828,161.1
20220829,119.2
20220830,122.0
20220831,170.7
20220901,120.1
20220902,91.0
20220903,94.8
20220904,116.6
20220905,137.7
20220906,165.6
20220907,154.4
20220908,99.3
20220909,205.6
20220910,197.6
20220911,204.0
20220912,251.4
20220913,104.1
20220914,86.5
20220915,99.9
20220916,95.5
20220917,116.9
20220918,159.2
20220919,117.2
20220920,116.0
20220921,152.5
20220922,102.8
20220923,116.0
20220924,147.3
20220925,152.5
20220926,106.7
20220927,100.6
20220928,155.7
20220929,116.9
20220930,114.7
20221001,220.7
20221002,192.8
20221003,138.1
20221004,118.2
20221005,190.6
20221006,130.4
20221007,93.9
20221008,150.2
20221009,139.7
20221010,148.3
20221011,106.3
20221012,143.5
20221013,99.3
20221014,90.6
20221015,139.3
20221016,154.7
20221017,114.3
20221018,114.0
20221019,160.8
20221020,116.0
20221021,101.9
20221022,123.0
20221023,140.3
20221024,106.3
20221025,119.5
20221026,157.6
20221027,121.1
20221028,133.9
20221029,140.6
20221030,117.6
20221031,110.2
20221101,83.6
20221102,221.7
20221103,88.1
20221104,111.5
20221105,149.3
20221106,131.0
20221107,85.8
20221108,101.2
