기준연월,방문비율
20220811,105.4
20220812,106.1
20220813,194.9
20220814,274.2
20220815,205.3
20220816,92.0
20220817,102.9
20220818,79.6
20220819,102.6
20220820,217.6
20220821,333.9
20220822,93.7
20220823,99.2
20220824,113.8
20220825,101.8
20220826,115.4
20220827,232.8
20220828,345.5
20220829,106.5
20220830,135.1
20220831,142.8
20220901,74.9
20220902,84.7
20220903,222.1
20220904,333.4
20220905,109.9
20220906,98.8
20220907,91.3
20220908,62.3
20220909,244.3
20220910,262.0
20220911,374.4
20220912,263.6
20220913,70.6
20220914,74.3
20220915,53.6
20220916,53.9
20220917,168.9
20220918,304.7
20220919,83.3
20220920,80.1
20220921,82.1
20220922,59.7
20220923,76.9
20220924,220.0
20220925,326.0
20220926,105.7
20220927,121.4
20220928,128.0
20220929,114.1
20220930,133.2
20221001,332.7
20221002,489.9
20221003,254.2
20221004,134.2
20221005,139.2
20221006,102.8
20221007,106.4
20221008,298.0
20221009,494.8
20221010,282.7
20221011,126.0
20221012,121.2
20221013,72.7
20221014,85.5
20221015,278.8
20221016,429.2
20221017,109.0
20221018,107.9
20221019,119.7
20221020,96.8
20221021,107.7
20221022,312.9
20221023,435.1
20221024,120.6
20221025,135.4
20221026,141.6
20221027,135.7
20221028,151.2
20221029,338.3
20221030,453.4
20221031,141.8
20221101,165.5
20221102,167.6
20221103,146.5
20221104,159.4
20221105,370.3
20221106,519.8
20221107,166.4
20221108,157.9
