기준연월,방문비율
20220817,165.8
20220818,165.4
20220819,187.0
20220820,244.1
20220821,192.0
20220822,169.8
20220823,173.4
20220824,165.7
20220825,154.2
20220826,172.9
20220827,283.7
20220828,182.8
20220829,189.0
20220830,182.1
20220831,183.7
20220901,137.3
20220902,150.8
20220903,237.0
20220904,171.1
20220905,125.7
20220906,136.7
20220907,135.5
20220908,120.9
20220909,237.5
20220910,317.9
20220911,203.8
20220912,257.3
20220913,143.8
20220914,147.0
20220915,143.6
20220916,169.4
20220917,272.7
20220918,216.1
20220919,159.1
20220920,169.9
20220921,167.5
20220922,158.4
20220923,180.5
20220924,278.0
20220925,159.3
20220926,180.3
20220927,189.5
20220928,161.4
20220929,156.0
20220930,204.8
20221001,278.2
20221002,221.3
20221003,202.6
20221004,135.2
20221005,125.8
20221006,147.7
20221007,181.4
20221008,293.1
20221009,210.5
20221010,233.6
20221011,138.6
20221012,144.4
20221013,143.9
20221014,162.4
20221015,295.7
20221016,240.7
20221017,154.8
20221018,156.1
20221019,148.3
20221020,149.9
20221021,175.5
20221022,285.8
20221023,185.4
20221024,168.3
20221025,151.7
20221026,171.2
20221027,174.1
20221028,197.6
20221029,316.5
20221030,276.5
20221031,157.3
20221101,137.2
20221102,138.5
20221103,118.4
20221104,144.6
20221105,271.4
20221106,225.0
20221107,130.2
20221108,149.3
20221109,134.7
20221110,134.8
20221111,158.3
20221112,305.2
20221113,190.6
20221114,144.6
